"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUALLAGA (000)",6212,169,3167,1650,447,140,88,25,2,,524
"Conviviente (001)",2853,95,1529,708,173,47,33,8,,,260
"Separado(a) (002)",213,8,105,60,14,11,3,1,,,11
"Casado(a) (003)",2421,39,1235,694,198,67,34,13,1,,140
"Viudo(a) (004)",410,21,190,118,23,4,13,3,1,,37
"Divorciado(a) (005)",19,,7,7,3,1,,,,,1
"Soltero(a) (006)",296,6,101,63,36,10,5,,,,75
,,,,,,,,,,,
"URBANA (008)",3741,82,1755,1077,327,110,54,18,2,,316
"Conviviente (009)",1543,48,760,412,116,35,18,6,,,148
"Separado(a) (010)",134,3,61,42,9,10,1,1,,,7
"Casado(a) (011)",1533,15,715,485,153,54,21,9,1,,80
"Viudo(a) (012)",296,12,139,84,17,4,10,2,1,,27
"Divorciado(a) (013)",13,,4,5,2,1,,,,,1
"Soltero(a) (014)",222,4,76,49,30,6,4,,,,53
,,,,,,,,,,,
"RURAL (016)",2471,87,1412,573,120,30,34,7,,,208
"Conviviente (017)",1310,47,769,296,57,12,15,2,,,112
"Separado(a) (018)",79,5,44,18,5,1,2,,,,4
"Casado(a) (019)",888,24,520,209,45,13,13,4,,,60
"Viudo(a) (020)",114,9,51,34,6,,3,1,,,10
"Divorciado(a) (021)",6,,3,2,1,,,,,,
"Soltero(a) (022)",74,2,25,14,6,4,1,,,,22
