"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JAUJA (000)",28936,1164,14,7466,11513,1736,3006,1132,2905
"Empleado (001)",5304,31,1,185,991,385,1421,417,1873
"Obrero (002)",6702,352,2,2091,3299,322,374,120,142
"Trabajador independiente (003)",12245,511,,3412,5295,841,969,487,730
"Empleador o patrono (004)",483,9,,110,181,33,51,32,67
"Trabajador familiar no remunerado (005)",3799,233,9,1556,1551,129,165,71,85
"Trabajador del hogar (006)",403,28,2,112,196,26,26,5,8
"Hombres (008)",17920,289,7,4197,8172,1166,1590,770,1729
"Empleado (009)",2873,6,,104,677,222,624,249,991
"Obrero (010)",4961,111,1,1320,2729,273,307,99,121
"Trabajador independiente (011)",7889,121,,2036,3711,580,558,360,523
"Empleador o patrono (012)",354,3,,77,143,22,35,22,52
"Trabajador familiar no remunerado (013)",1818,45,6,655,897,69,64,40,42
"Trabajador del hogar (014)",25,3,,5,15,,2,,
"Mujeres (016)",11016,875,7,3269,3341,570,1416,362,1176
"Empleado (017)",2431,25,1,81,314,163,797,168,882
"Obrero (018)",1741,241,1,771,570,49,67,21,21
"Trabajador independiente (019)",4356,390,,1376,1584,261,411,127,207
"Empleador o patrono (020)",129,6,,33,38,11,16,10,15
"Trabajador familiar no remunerado (021)",1981,188,3,901,654,60,101,31,43
"Trabajador del hogar (022)",378,25,2,107,181,26,24,5,8
,,,,,,,,,
"URBANA (024)",20631,703,11,4081,7919,1539,2690,1002,2686
"Empleado (025)",4819,26,1,150,840,359,1306,379,1758
"Obrero (026)",4325,208,2,1178,2121,273,313,95,135
"Trabajador independiente (027)",8887,327,,1983,3841,750,883,440,663
"Empleador o patrono (028)",358,7,,70,132,28,38,26,57
"Trabajador familiar no remunerado (029)",1914,114,6,622,821,103,125,57,66
"Trabajador del hogar (030)",328,21,2,78,164,26,25,5,7
"Hombres (032)",12296,176,5,2136,5333,1014,1377,674,1581
"Empleado (033)",2557,3,,85,566,205,558,223,917
"Obrero (034)",3220,74,1,725,1745,230,251,79,115
"Trabajador independiente (035)",5389,73,,1029,2488,509,497,325,468
"Empleador o patrono (036)",262,2,,51,102,18,25,18,46
"Trabajador familiar no remunerado (037)",849,22,4,242,421,52,44,29,35
"Trabajador del hogar (038)",19,2,,4,11,,2,,
"Mujeres (040)",8335,527,6,1945,2586,525,1313,328,1105
"Empleado (041)",2262,23,1,65,274,154,748,156,841
"Obrero (042)",1105,134,1,453,376,43,62,16,20
"Trabajador independiente (043)",3498,254,,954,1353,241,386,115,195
"Empleador o patrono (044)",96,5,,19,30,10,13,8,11
"Trabajador familiar no remunerado (045)",1065,92,2,380,400,51,81,28,31
"Trabajador del hogar (046)",309,19,2,74,153,26,23,5,7
,,,,,,,,,
"RURAL (048)",8305,461,3,3385,3594,197,316,130,219
"Empleado (049)",485,5,,35,151,26,115,38,115
"Obrero (050)",2377,144,,913,1178,49,61,25,7
"Trabajador independiente (051)",3358,184,,1429,1454,91,86,47,67
"Empleador o patrono (052)",125,2,,40,49,5,13,6,10
"Trabajador familiar no remunerado (053)",1885,119,3,934,730,26,40,14,19
"Trabajador del hogar (054)",75,7,,34,32,,1,,1
"Hombres (056)",5624,113,2,2061,2839,152,213,96,148
"Empleado (057)",316,3,,19,111,17,66,26,74
"Obrero (058)",1741,37,,595,984,43,56,20,6
"Trabajador independiente (059)",2500,48,,1007,1223,71,61,35,55
"Empleador o patrono (060)",92,1,,26,41,4,10,4,6
"Trabajador familiar no remunerado (061)",969,23,2,413,476,17,20,11,7
"Trabajador del hogar (062)",6,1,,1,4,,,,
"Mujeres (064)",2681,348,1,1324,755,45,103,34,71
"Empleado (065)",169,2,,16,40,9,49,12,41
"Obrero (066)",636,107,,318,194,6,5,5,1
"Trabajador independiente (067)",858,136,,422,231,20,25,12,12
"Empleador o patrono (068)",33,1,,14,8,1,3,2,4
"Trabajador familiar no remunerado (069)",916,96,1,521,254,9,20,3,12
"Trabajador del hogar (070)",69,6,,33,28,,1,,1
