"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia LUYA",,,,,,,,,
"Hogares (001)",11837,8,977,3,28,10537,2,2,280
"Ocupantes presentes (002)",48151,32,3203,7,114,44376,13,2,404
"Casa independiente",,,,,,,,,
"Hogares (004)",11642,8,950,3,27,10389,2,2,261
"Ocupantes presentes (005)",47554,32,3121,7,112,43890,13,2,377
"Departamento en edificio",,,,,,,,,
"Hogares (007)",4,,1,,,,,,3
"Ocupantes presentes (008)",7,,4,,,,,,3
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",5,,3,,,,,,2
"Ocupantes presentes (011)",16,,10,,,,,,6
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",48,,20,,,18,,,10
"Ocupantes presentes (014)",143,,61,,,69,,,13
"Choza o cabaña",,,,,,,,,
"Hogares (016)",127,,1,,1,124,,,1
"Ocupantes presentes (017)",403,,1,,2,398,,,2
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1,,,,,1,,,
"Ocupantes presentes (020)",5,,,,,5,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",7,,2,,,2,,,3
"Ocupantes presentes (023)",12,,6,,,3,,,3
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,,,,3,,,
"Ocupantes presentes (026)",11,,,,,11,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",5097,5,834,3,12,4075,2,,166
"Ocupantes presentes (029)",19349,18,2769,7,49,16245,13,,248
"Casa independiente",,,,,,,,,
"Hogares (031)",5032,5,808,3,12,4051,2,,151
"Ocupantes presentes (032)",19158,18,2688,7,49,16157,13,,226
"Departamento en edificio",,,,,,,,,
"Hogares (034)",4,,1,,,,,,3
"Ocupantes presentes (035)",7,,4,,,,,,3
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",5,,3,,,,,,2
"Ocupantes presentes (038)",16,,10,,,,,,6
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",48,,20,,,18,,,10
"Ocupantes presentes (041)",143,,61,,,69,,,13
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1,,,,,1,,,
"Ocupantes presentes (047)",5,,,,,5,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",4,,2,,,2,,,
"Ocupantes presentes (050)",9,,6,,,3,,,
"Otro tipo",,,,,,,,,
"Hogares (052)",3,,,,,3,,,
"Ocupantes presentes (053)",11,,,,,11,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",6740,3,143,,16,6462,,2,114
"Ocupantes presentes (056)",28802,14,434,,65,28131,,2,156
"Casa independiente",,,,,,,,,
"Hogares (058)",6610,3,142,,15,6338,,2,110
"Ocupantes presentes (059)",28396,14,433,,63,27733,,2,151
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",127,,1,,1,124,,,1
"Ocupantes presentes (071)",403,,1,,2,398,,,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
