"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SUCRE",,,,,,
"Viviendas particulares (001)",3780,3727,49,4,,
"Ocupantes presentes (002)",12556,12139,372,45,,
"Casa independiente",,,,,,
"Viviendas particulares (004)",3491,3439,48,4,,
"Ocupantes presentes (005)",11650,11239,366,45,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",8,8,,,,
"Ocupantes presentes (011)",20,20,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",9,9,,,,
"Ocupantes presentes (014)",21,21,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",271,270,1,,,
"Ocupantes presentes (017)",864,858,6,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2218,2167,47,4,,
"Ocupantes presentes (029)",7656,7249,362,45,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2200,2149,47,4,,
"Ocupantes presentes (032)",7614,7207,362,45,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",8,8,,,,
"Ocupantes presentes (038)",20,20,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",9,9,,,,
"Ocupantes presentes (041)",21,21,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",1,1,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",1562,1560,2,,,
"Ocupantes presentes (056)",4900,4890,10,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",1291,1290,1,,,
"Ocupantes presentes (059)",4036,4032,4,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",271,270,1,,,
"Ocupantes presentes (071)",864,858,6,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
