"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia URUBAMBA (000)",3259,3178,81
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",911,911,
"Casa pensión (003)",7,7,
"Hospital, clinica (004)",37,37,
"Aldea infantil, orfelinato, etc (007)",126,126,
"Otro (008)",203,122,81
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",1975,1975,
