"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia NAZCA (000)",23855,2857,6631,6500,7867
"Asiste actualmente (001)",17591,2001,6405,6117,3068
"No asiste (002)",6264,856,226,383,4799
"Hombres (004)",12236,1452,3469,3330,3985
"Asiste actualmente (005)",9051,1035,3354,3123,1539
"No asiste (006)",3185,417,115,207,2446
"Mujeres (008)",11619,1405,3162,3170,3882
"Asiste actualmente (009)",8540,966,3051,2994,1529
"No asiste (010)",3079,439,111,176,2353
,,,,,
"URBANA (012)",21074,2528,5927,5699,6920
"Asiste actualmente (013)",15744,1815,5742,5394,2793
"No asiste (014)",5330,713,185,305,4127
"Hombres (016)",10721,1299,3090,2872,3460
"Asiste actualmente (017)",8035,946,2995,2711,1383
"No asiste (018)",2686,353,95,161,2077
"Mujeres (020)",10353,1229,2837,2827,3460
"Asiste actualmente (021)",7709,869,2747,2683,1410
"No asiste (022)",2644,360,90,144,2050
,,,,,
"RURAL (024)",2781,329,704,801,947
"Asiste actualmente (025)",1847,186,663,723,275
"No asiste (026)",934,143,41,78,672
"Hombres (028)",1515,153,379,458,525
"Asiste actualmente (029)",1016,89,359,412,156
"No asiste (030)",499,64,20,46,369
"Mujeres (032)",1266,176,325,343,422
"Asiste actualmente (033)",831,97,304,311,119
"No asiste (034)",435,79,21,32,303
