"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia COTABAMBAS (000)",42241,11508,1350,18854,8264,585,886,158,636
"Quechua (001)",38091,11023,1177,17602,7164,387,461,77,200
"Aymara (002)",70,14,3,29,14,1,5,,4
"Ashaninca (003)",7,1,,3,3,,,,
"Otra lengua nativa (004)",9,2,,3,2,,,,2
"Castellano (005)",4034,449,169,1213,1078,196,420,81,428
"Idioma extranjero (006)",2,,,,,,,,2
"Es sordomudo/a (007)",28,19,1,4,3,1,,,
"Hombres (009)",21384,3971,638,10121,5231,367,548,108,400
"Quechua (010)",19127,3717,553,9483,4609,261,310,53,141
"Aymara (011)",30,3,,11,9,1,3,,3
"Ashaninca (012)",6,1,,3,2,,,,
"Otra lengua nativa (013)",4,1,,2,1,,,,
"Castellano (014)",2199,237,84,619,610,104,235,55,255
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",17,12,1,3,,1,,,
"Mujeres (018)",20857,7537,712,8733,3033,218,338,50,236
"Quechua (019)",18964,7306,624,8119,2555,126,151,24,59
"Aymara (020)",40,11,3,18,5,,2,,1
"Ashaninca (021)",1,,,,1,,,,
"Otra lengua nativa (022)",5,1,,1,1,,,,2
"Castellano (023)",1835,212,85,594,468,92,185,26,173
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",11,7,,1,3,,,,
,,,,,,,,,
"URBANA (027)",11340,1753,346,4172,3165,444,754,144,562
"Quechua (028)",8038,1405,195,3241,2340,260,367,66,164
"Aymara (029)",27,1,,9,7,1,5,,4
"Ashaninca (030)",2,,,2,,,,,
"Otra lengua nativa (031)",6,1,,2,1,,,,2
"Castellano (032)",3259,344,150,915,817,183,382,78,390
"Idioma extranjero (033)",2,,,,,,,,2
"Es sordomudo/a (034)",6,2,1,3,,,,,
"Hombres (036)",5795,578,169,2025,1850,266,454,97,356
"Quechua (037)",3989,401,95,1564,1365,170,237,44,113
"Aymara (038)",16,1,,3,5,1,3,,3
"Ashaninca (039)",2,,,2,,,,,
"Otra lengua nativa (040)",2,,,1,1,,,,
"Castellano (041)",1780,174,73,453,479,95,214,53,239
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",5,2,1,2,,,,,
"Mujeres (045)",5545,1175,177,2147,1315,178,300,47,206
"Quechua (046)",4049,1004,100,1677,975,90,130,22,51
"Aymara (047)",11,,,6,2,,2,,1
"Otra lengua nativa (049)",4,1,,1,,,,,2
"Castellano (050)",1479,170,77,462,338,88,168,25,151
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",1,,,1,,,,,
,,,,,,,,,
"RURAL (054)",30901,9755,1004,14682,5099,141,132,14,74
"Quechua (055)",30053,9618,982,14361,4824,127,94,11,36
"Aymara (056)",43,13,3,20,7,,,,
"Ashaninca (057)",5,1,,1,3,,,,
"Otra lengua nativa (058)",3,1,,1,1,,,,
"Castellano (059)",775,105,19,298,261,13,38,3,38
"Es sordomudo/a (061)",22,17,,1,3,1,,,
"Hombres (063)",15589,3393,469,8096,3381,101,94,11,44
"Quechua (064)",15138,3316,458,7919,3244,91,73,9,28
"Aymara (065)",14,2,,8,4,,,,
"Ashaninca (066)",4,1,,1,2,,,,
"Otra lengua nativa (067)",2,1,,1,,,,,
"Castellano (068)",419,63,11,166,131,9,21,2,16
"Es sordomudo/a (070)",12,10,,1,,1,,,
"Mujeres (072)",15312,6362,535,6586,1718,40,38,3,30
"Quechua (073)",14915,6302,524,6442,1580,36,21,2,8
"Aymara (074)",29,11,3,12,3,,,,
"Ashaninca (075)",1,,,,1,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",356,42,8,132,130,4,17,1,22
"Es sordomudo/a (079)",10,7,,,3,,,,
