"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia REQUENA (000)",59125,17817,5628,615,35110
"Sin Nivel (001)",6352,3124,461,39,2734
"Educación Inicial (002)",1839,1065,190,9,579
"Primaria (003)",29506,9061,1511,198,18747
"Secundaria (004)",17794,4294,1690,207,11608
"Sup. no Univ. Incompleta (005)",1018,110,257,29,628
"Sup. no Univ. Completa (006)",1483,74,943,64,407
"Sup. Univ. Incompleta (007)",427,37,156,33,203
"Sup. Univ. Completa (008)",706,52,420,36,204
"Hombres (010)",31118,8427,2871,354,19493
"Sin Nivel (011)",2955,1528,211,14,1204
"Educación Inicial (012)",965,549,114,4,300
"Primaria (013)",14826,4159,715,90,9868
"Secundaria (014)",10141,2024,812,131,7177
"Sup. no Univ. Incompleta (015)",632,60,157,17,403
"Sup. no Univ. Completa (016)",852,44,502,50,260
"Sup. Univ. Incompleta (017)",284,27,95,22,140
"Sup. Univ. Completa (018)",463,36,265,26,141
"Mujeres (020)",28007,9390,2757,261,15617
"Sin Nivel (021)",3397,1596,250,25,1530
"Educación Inicial (022)",874,516,76,5,279
"Primaria (023)",14680,4902,796,108,8879
"Secundaria (024)",7653,2270,878,76,4431
"Sup. no Univ. Incompleta (025)",386,50,100,12,225
"Sup. no Univ. Completa (026)",631,30,441,14,147
"Sup. Univ. Incompleta (027)",143,10,61,11,63
"Sup. Univ. Completa (028)",243,16,155,10,63
,,,,,
"URBANA (030)",34187,9705,4866,521,19138
"Sin Nivel (031)",3042,1426,387,30,1205
"Educación Inicial (032)",1081,619,174,9,283
"Primaria (033)",14468,4534,1266,158,8520
"Secundaria (034)",12506,2918,1554,186,7853
"Sup. no Univ. Incompleta (035)",887,86,216,25,566
"Sup. no Univ. Completa (036)",1249,65,779,54,356
"Sup. Univ. Incompleta (037)",348,20,129,29,172
"Sup. Univ. Completa (038)",606,37,361,30,183
"Hombres (040)",17688,4547,2454,295,10418
"Sin Nivel (041)",1422,715,178,10,521
"Educación Inicial (042)",550,305,104,4,139
"Primaria (043)",7062,2110,594,67,4297
"Secundaria (044)",6793,1301,739,118,4638
"Sup. no Univ. Incompleta (045)",540,42,128,16,359
"Sup. no Univ. Completa (046)",704,39,405,42,222
"Sup. Univ. Incompleta (047)",221,12,78,18,113
"Sup. Univ. Completa (048)",396,23,228,20,129
"Mujeres (050)",16499,5158,2412,226,8720
"Sin Nivel (051)",1620,711,209,20,684
"Educación Inicial (052)",531,314,70,5,144
"Primaria (053)",7406,2424,672,91,4223
"Secundaria (054)",5713,1617,815,68,3215
"Sup. no Univ. Incompleta (055)",347,44,88,9,207
"Sup. no Univ. Completa (056)",545,26,374,12,134
"Sup. Univ. Incompleta (057)",127,8,51,11,59
"Sup. Univ. Completa (058)",210,14,133,10,54
,,,,,
"RURAL (060)",24938,8112,762,94,15972
"Sin Nivel (061)",3310,1698,74,9,1529
"Educación Inicial (062)",758,446,16,,296
"Primaria (063)",15038,4527,245,40,10227
"Secundaria (064)",5288,1376,136,21,3755
"Sup. no Univ. Incompleta (065)",131,24,41,4,62
"Sup. no Univ. Completa (066)",234,9,164,10,51
"Sup. Univ. Incompleta (067)",79,17,27,4,31
"Sup. Univ. Completa (068)",100,15,59,6,21
"Hombres (070)",13430,3880,417,59,9075
"Sin Nivel (071)",1533,813,33,4,683
"Educación Inicial (072)",415,244,10,,161
"Primaria (073)",7764,2049,121,23,5571
"Secundaria (074)",3348,723,73,13,2539
"Sup. no Univ. Incompleta (075)",92,18,29,1,44
"Sup. no Univ. Completa (076)",148,5,97,8,38
"Sup. Univ. Incompleta (077)",63,15,17,4,27
"Sup. Univ. Completa (078)",67,13,37,6,12
"Mujeres (080)",11508,4232,345,35,6897
"Sin Nivel (081)",1777,885,41,5,846
"Educación Inicial (082)",343,202,6,,135
"Primaria (083)",7274,2478,124,17,4656
"Secundaria (084)",1940,653,63,8,1216
"Sup. no Univ. Incompleta (085)",39,6,12,3,18
"Sup. no Univ. Completa (086)",86,4,67,2,13
"Sup. Univ. Incompleta (087)",16,2,10,,4
"Sup. Univ. Completa (088)",33,2,22,,9
