"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN ROMAN (000)",6844,100,3719,2091,827,107
"Sin nivel (001)",125,5,19,23,50,28
"Educación inicial (002)",10,3,4,3,,
"Primaria (003)",1050,34,259,363,343,51
"Secundaria (004)",3255,58,2040,867,274,16
"Superior no univ. incompleta (005)",430,,280,124,25,1
"Superior no univ. completa (006)",579,,332,210,34,3
"Superior univ. incompleta (007)",462,,308,118,34,2
"Superior univ. completa (008)",933,,477,383,67,6
"Hombres (010)",4303,63,2117,1415,628,80
"Sin nivel (011)",59,2,13,13,21,10
"Educación inicial (012)",4,2,2,,,
"Primaria (013)",648,21,121,203,258,45
"Secundaria (014)",2194,38,1245,665,230,16
"Superior no univ. incompleta (015)",259,,156,85,18,
"Superior no univ. completa (016)",315,,167,121,24,3
"Superior univ. incompleta (017)",295,,184,84,26,1
"Superior univ. completa (018)",529,,229,244,51,5
"Mujeres (020)",2541,37,1602,676,199,27
"Sin nivel (021)",66,3,6,10,29,18
"Educación inicial (022)",6,1,2,3,,
"Primaria (023)",402,13,138,160,85,6
"Secundaria (024)",1061,20,795,202,44,
"Superior no univ. incompleta (025)",171,,124,39,7,1
"Superior no univ. completa (026)",264,,165,89,10,
"Superior univ. incompleta (027)",167,,124,34,8,1
"Superior univ. completa (028)",404,,248,139,16,1
,,,,,,
"Area Urbana (030)",6511,93,3496,2022,798,102
"Sin nivel (031)",107,4,14,20,45,24
"Educación inicial (032)",9,3,4,2,,
"Primaria (033)",937,31,191,337,328,50
"Secundaria (034)",3085,55,1909,837,268,16
"Superior no univ. incompleta (035)",427,,278,123,25,1
"Superior no univ. completa (036)",565,,325,205,32,3
"Superior univ. incompleta (037)",455,,303,117,33,2
"Superior univ. completa (038)",926,,472,381,67,6
"Hombres (040)",4056,58,1960,1359,603,76
"Sin nivel (041)",44,1,9,11,16,7
"Educación inicial (042)",4,2,2,,,
"Primaria (043)",574,19,83,183,245,44
"Secundaria (044)",2058,36,1145,636,225,16
"Superior no univ. incompleta (045)",256,,154,84,18,
"Superior no univ. completa (046)",305,,160,119,23,3
"Superior univ. incompleta (047)",291,,182,83,25,1
"Superior univ. completa (048)",524,,225,243,51,5
"Mujeres (050)",2455,35,1536,663,195,26
"Sin nivel (051)",63,3,5,9,29,17
"Educación inicial (052)",5,1,2,2,,
"Primaria (053)",363,12,108,154,83,6
"Secundaria (054)",1027,19,764,201,43,
"Superior no univ. incompleta (055)",171,,124,39,7,1
"Superior no univ. completa (056)",260,,165,86,9,
"Superior univ. incompleta (057)",164,,121,34,8,1
"Superior univ. completa (058)",402,,247,138,16,1
,,,,,,
"Area Rural (060)",333,7,223,69,29,5
"Sin nivel (061)",18,1,5,3,5,4
"Educación inicial (062)",1,,,1,,
"Primaria (063)",113,3,68,26,15,1
"Secundaria (064)",170,3,131,30,6,
"Superior no univ. incompleta (065)",3,,2,1,,
"Superior no univ. completa (066)",14,,7,5,2,
"Superior univ. incompleta (067)",7,,5,1,1,
"Superior univ. completa (068)",7,,5,2,,
"Hombres (070)",247,5,157,56,25,4
"Sin nivel (071)",15,1,4,2,5,3
"Primaria (073)",74,2,38,20,13,1
"Secundaria (074)",136,2,100,29,5,
"Superior no univ. incompleta (075)",3,,2,1,,
"Superior no univ. completa (076)",10,,7,2,1,
"Superior univ. incompleta (077)",4,,2,1,1,
"Superior univ. completa (078)",5,,4,1,,
"Mujeres (080)",86,2,66,13,4,1
"Sin nivel (081)",3,,1,1,,1
"Educación inicial (082)",1,,,1,,
"Primaria (083)",39,1,30,6,2,
"Secundaria (084)",34,1,31,1,1,
"Superior no univ. completa (086)",4,,,3,1,
"Superior univ. incompleta (087)",3,,3,,,
"Superior univ. completa (088)",2,,1,1,,
