"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CASMA (000)",39908,5577,6028,1210,27135
"Quechua (001)",5517,788,254,57,4418
"Aymara (002)",29,2,7,1,20
"Asháninka (003)",2,2,,1,
"Otra lengua nativa (004)",13,3,,,10
"Castellano (005)",34299,4779,5764,1150,22646
"Idioma Extranjero (006)",6,,,1,5
"Es Sordomudo/a (007)",42,3,3,,36
"Hombres (009)",20429,2702,2986,705,14060
"Quechua (010)",2629,357,133,32,2107
"Aymara (011)",17,,4,,13
"Asháninka (012)",1,1,,,
"Otra lengua nativa (013)",6,2,,,4
"Castellano (014)",17753,2340,2848,673,11916
"Idioma Extranjero (015)",2,,,,2
"Es Sordomudo/a (016)",21,2,1,,18
"Mujeres (018)",19479,2875,3042,505,13075
"Quechua (019)",2888,431,121,25,2311
"Aymara (020)",12,2,3,1,7
"Asháninka (021)",1,1,,1,
"Otra lengua nativa (022)",7,1,,,6
"Castellano (023)",16546,2439,2916,477,10730
"Idioma Extranjero (024)",4,,,1,3
"Es Sordomudo/a (025)",21,1,2,,18
,,,,,
"URBANA (027)",27770,2589,5219,997,19005
"Quechua (028)",2659,115,183,31,2330
"Aymara (029)",25,1,6,1,17
"Asháninka (030)",2,2,,1,
"Otra lengua nativa (031)",12,3,,,9
"Castellano (032)",25041,2466,5027,963,16624
"Idioma Extranjero (033)",6,,,1,5
"Es Sordomudo/a (034)",25,2,3,,20
"Hombres (036)",14007,1248,2542,568,9673
"Quechua (037)",1217,45,92,18,1062
"Aymara (038)",16,,4,,12
"Asháninka (039)",1,1,,,
"Otra lengua nativa (040)",6,2,,,4
"Castellano (041)",12752,1199,2445,550,8582
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",13,1,1,,11
"Mujeres (045)",13763,1341,2677,429,9332
"Quechua (046)",1442,70,91,13,1268
"Aymara (047)",9,1,2,1,5
"Asháninka (048)",1,1,,1,
"Otra lengua nativa (049)",6,1,,,5
"Castellano (050)",12289,1267,2582,413,8042
"Idioma Extranjero (051)",4,,,1,3
"Es Sordomudo/a (052)",12,1,2,,9
,,,,,
"RURAL (054)",12138,2988,809,213,8130
"Quechua (055)",2858,673,71,26,2088
"Aymara (056)",4,1,1,,3
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",9258,2313,737,187,6022
"Es Sordomudo/a (061)",17,1,,,16
"Hombres (063)",6422,1454,444,137,4387
"Quechua (064)",1412,312,41,14,1045
"Aymara (065)",1,,,,1
"Castellano (068)",5001,1141,403,123,3334
"Es Sordomudo/a (070)",8,1,,,7
"Mujeres (072)",5716,1534,365,76,3743
"Quechua (073)",1446,361,30,12,1043
"Aymara (074)",3,1,1,,2
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",4257,1172,334,64,2688
"Es Sordomudo/a (079)",9,,,,9
