"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CARHUAZ",,,,,,,,,
"Hogares (001)",11200,271,118,92,80,39,27,27,10546
"Ocupantes presentes (002)",43772,829,341,303,287,154,131,141,41586
"Casa independiente",,,,,,,,,
"Hogares (004)",11126,265,118,91,79,38,27,27,10481
"Ocupantes presentes (005)",43535,817,341,300,285,150,131,141,41370
"Departamento en edificio",,,,,,,,,
"Hogares (007)",7,2,,,,1,,,4
"Ocupantes presentes (008)",20,4,,,,4,,,12
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",8,1,,1,1,,,,5
"Ocupantes presentes (011)",16,1,,3,2,,,,10
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",15,2,,,,,,,13
"Ocupantes presentes (014)",39,2,,,,,,,37
"Choza o cabaña",,,,,,,,,
"Hogares (016)",38,1,,,,,,,37
"Ocupantes presentes (017)",139,5,,,,,,,134
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,,,,,,,2
"Ocupantes presentes (020)",10,,,,,,,,10
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",4,,,,,,,,4
"Ocupantes presentes (023)",13,,,,,,,,13
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3955,184,83,72,52,26,15,19,3504
"Ocupantes presentes (029)",14732,522,230,240,176,89,70,91,13314
"Casa independiente",,,,,,,,,
"Hogares (031)",3919,179,83,71,51,25,15,19,3476
"Ocupantes presentes (032)",14634,515,230,237,174,85,70,91,13232
"Departamento en edificio",,,,,,,,,
"Hogares (034)",7,2,,,,1,,,4
"Ocupantes presentes (035)",20,4,,,,4,,,12
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",8,1,,1,1,,,,5
"Ocupantes presentes (038)",16,1,,3,2,,,,10
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",15,2,,,,,,,13
"Ocupantes presentes (041)",39,2,,,,,,,37
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,,,,,,,2
"Ocupantes presentes (047)",10,,,,,,,,10
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",4,,,,,,,,4
"Ocupantes presentes (050)",13,,,,,,,,13
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7245,87,35,20,28,13,12,8,7042
"Ocupantes presentes (056)",29040,307,111,63,111,65,61,50,28272
"Casa independiente",,,,,,,,,
"Hogares (058)",7207,86,35,20,28,13,12,8,7005
"Ocupantes presentes (059)",28901,302,111,63,111,65,61,50,28138
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",38,1,,,,,,,37
"Ocupantes presentes (071)",139,5,,,,,,,134
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
