"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PALPA (000)",3751,74,1403,1121,385,152,68,17,1,,530
"Conviviente (001)",1361,25,568,446,129,36,12,3,,,142
"Separado(a) (002)",220,9,89,69,32,6,6,2,,,7
"Casado(a) (003)",1343,26,526,431,163,79,31,6,1,,80
"Viudo(a) (004)",292,12,134,76,28,14,8,1,,,19
"Divorciado(a) (005)",29,2,11,8,2,3,,,,,3
"Soltero(a) (006)",506,,75,91,31,14,11,5,,,279
,,,,,,,,,,,
"URBANA (008)",2526,40,870,779,278,113,51,14,1,,380
"Conviviente (009)",881,11,338,301,91,26,9,2,,,103
"Separado(a) (010)",162,5,65,47,28,5,6,2,,,4
"Casado(a) (011)",908,15,328,310,113,61,23,5,1,,52
"Viudo(a) (012)",194,8,82,54,20,11,4,1,,,14
"Divorciado(a) (013)",24,1,10,6,2,2,,,,,3
"Soltero(a) (014)",357,,47,61,24,8,9,4,,,204
,,,,,,,,,,,
"RURAL (016)",1225,34,533,342,107,39,17,3,,,150
"Conviviente (017)",480,14,230,145,38,10,3,1,,,39
"Separado(a) (018)",58,4,24,22,4,1,,,,,3
"Casado(a) (019)",435,11,198,121,50,18,8,1,,,28
"Viudo(a) (020)",98,4,52,22,8,3,4,,,,5
"Divorciado(a) (021)",5,1,1,2,,1,,,,,
"Soltero(a) (022)",149,,28,30,7,6,2,1,,,75
