"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LA UNION (000)",5951,264,1411,2043,1584,649
"Agric., ganadería, caza y silvicultura (001)",4059,199,877,1216,1171,596
"Pesca (002)",2,,,,2,
"Explotación de minas y canteras (003)",37,,16,15,6,
"Industrias manufactureras (004)",88,1,32,29,23,3
"Suministro de electricidad, gas y agua (005)",15,1,4,3,7,
"Construcción (006)",223,3,83,81,52,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",294,19,85,112,63,15
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,,7,3,4,
"Comercio al por mayor (009)",13,,1,7,5,
"Comercio al por menor (010)",267,19,77,102,54,15
"Hoteles y restaurantes (011)",113,3,36,42,25,7
"Trans., almac. y comunicaciones (012)",94,5,35,38,16,
"Activid.inmobil., empres. y alquileres (014)",65,,16,32,17,
"Admin.pub. y defensa; p. segur.soc afil (015)",128,,32,72,21,3
"Enseñanza (016)",369,,44,235,89,1
"Servicios sociales y de salud (017)",91,,31,51,8,1
"Otras activ. serv.comun.soc y personales (018)",53,2,15,24,10,2
"Hogares privados con servicio doméstico (019)",95,27,30,20,16,2
"Actividad economica no especificada (021)",117,,25,45,38,9
"Desocupado (022)",108,4,50,28,20,6
"Hombres (023)",3620,122,884,1191,1026,397
"Agric., ganadería, caza y silvicultura (024)",2554,99,562,758,763,372
"Pesca (025)",1,,,,1,
"Explotación de minas y canteras (026)",37,,16,15,6,
"Industrias manufactureras (027)",59,1,21,18,16,3
"Suministro de electricidad, gas y agua (028)",14,1,4,2,7,
"Construcción (029)",219,3,82,78,52,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",124,5,40,45,31,3
"Venta, mant.y rep. veh.autom.y motoc. (031)",11,,5,3,3,
"Comercio al por mayor (032)",8,,1,3,4,
"Comercio al por menor (033)",105,5,34,39,24,3
"Hoteles y restaurantes (034)",14,,5,4,3,2
"Trans., almac. y comunicaciones (035)",87,5,29,37,16,
"Activid.inmobil., empres. y alquileres (037)",44,,12,19,13,
"Admin.pub. y defensa; p. segur.soc afil (038)",89,,23,48,15,3
"Enseñanza (039)",160,,15,88,57,
"Servicios sociales y de salud (040)",36,,11,18,6,1
"Otras activ. serv.comun.soc y personales (041)",34,,11,15,6,2
"Hogares privados con servicio doméstico (042)",16,6,4,2,3,1
"Actividad economica no especificada (044)",53,,13,20,17,3
