"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MOYOBAMBA (000)",39240,38095,11022,5844,5440,4361,5386,2912,3130,1145
"Católica (001)",22850,22129,6524,3502,3283,2560,3033,1570,1657,721
"Cristiana/Evangélica (002)",9271,9035,2464,1183,1165,1032,1409,831,951,236
"Otra (003)",3557,3473,979,474,424,390,550,321,335,84
"Ninguna (004)",3562,3458,1055,685,568,379,394,190,187,104
,,,,,,,,,,
"URBANA (006)",25509,24642,7426,3878,3691,3017,3383,1706,1541,867
"Católica (007)",15815,15254,4609,2474,2382,1921,2060,971,837,561
"Cristiana/Evangélica (008)",5468,5294,1554,685,727,632,790,464,442,174
"Otra (009)",2307,2242,665,313,276,259,340,195,194,65
"Ninguna (010)",1919,1852,598,406,306,205,193,76,68,67
,,,,,,,,,,
"RURAL (012)",13731,13453,3596,1966,1749,1344,2003,1206,1589,278
"Católica (013)",7035,6875,1915,1028,901,639,973,599,820,160
"Cristiana/Evangélica (014)",3803,3741,910,498,438,400,619,367,509,62
"Otra (015)",1250,1231,314,161,148,131,210,126,141,19
"Ninguna (016)",1643,1606,457,279,262,174,201,114,119,37
