"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHANCHAMAYO",,,,,,,,,
"Viviendas particulares (001)",1354,597,232,86,181,16,24,34,184
"Ocupantes presentes (002)",5743,2461,1047,370,756,76,104,155,774
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1209,540,210,77,153,11,21,32,165
"Ocupantes presentes (005)",5197,2241,964,335,657,62,92,148,698
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",15,9,3,,3,,,,
"Ocupantes presentes (008)",55,36,11,,8,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",62,18,8,3,10,3,2,1,17
"Ocupantes presentes (011)",220,60,29,14,34,9,8,4,62
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",51,16,10,6,14,2,,1,2
"Ocupantes presentes (014)",209,73,38,21,55,5,,3,14
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3,3,,,,,,,
"Ocupantes presentes (017)",16,16,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",14,11,1,,1,,1,,
"Ocupantes presentes (020)",46,35,5,,2,,4,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1105,417,204,74,156,16,24,34,180
"Ocupantes presentes (029)",4668,1693,924,304,661,76,104,155,751
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",963,363,182,65,128,11,21,32,161
"Ocupantes presentes (032)",4138,1489,841,269,562,62,92,148,675
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",15,9,3,,3,,,,
"Ocupantes presentes (035)",55,36,11,,8,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",62,18,8,3,10,3,2,1,17
"Ocupantes presentes (038)",220,60,29,14,34,9,8,4,62
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",51,16,10,6,14,2,,1,2
"Ocupantes presentes (041)",209,73,38,21,55,5,,3,14
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",14,11,1,,1,,1,,
"Ocupantes presentes (047)",46,35,5,,2,,4,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",249,180,28,12,25,,,,4
"Ocupantes presentes (056)",1075,768,123,66,95,,,,23
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",246,177,28,12,25,,,,4
"Ocupantes presentes (059)",1059,752,123,66,95,,,,23
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3,3,,,,,,,
"Ocupantes presentes (071)",16,16,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
