"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SATIPO (000)",106,88,18
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",42,42,
"Casa pensión (003)",4,2,2
"Hospital, clinica (004)",7,5,2
"Cárcel, centro de readaptación social (005)",3,2,1
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",32,26,6
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",15,8,7
