"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAJAMARCA (000)",84836,966,28341,26787,10072,4053,1626,453,67,,12471
"Conviviente (001)",34896,440,13821,11521,3584,1178,447,125,20,,3760
"Separado(a) (002)",6545,123,2325,2223,825,373,157,36,6,,477
"Casado(a) (003)",26857,234,8400,9257,4204,1776,666,158,24,,2138
"Viudo(a) (004)",6679,110,2343,2218,703,342,183,98,7,,675
"Divorciado(a) (005)",657,10,215,221,86,51,14,3,,,57
"Soltero(a) (006)",9202,49,1237,1347,670,333,159,33,10,,5364
,,,,,,,,,,,
"URBANA (008)",48644,475,13679,14745,7027,3013,1207,315,50,,8133
"Conviviente (009)",17420,199,6110,5675,2157,771,292,75,9,,2132
"Separado(a) (010)",3594,60,1172,1181,506,249,96,26,3,,301
"Casado(a) (011)",17040,116,4269,5692,3329,1466,555,125,23,,1465
"Viudo(a) (012)",3239,56,1072,983,392,199,114,59,5,,359
"Divorciado(a) (013)",487,6,151,164,72,40,10,3,,,41
"Soltero(a) (014)",6864,38,905,1050,571,288,140,27,10,,3835
,,,,,,,,,,,
"RURAL (016)",36192,491,14662,12042,3045,1040,419,138,17,,4338
"Conviviente (017)",17476,241,7711,5846,1427,407,155,50,11,,1628
"Separado(a) (018)",2951,63,1153,1042,319,124,61,10,3,,176
"Casado(a) (019)",9817,118,4131,3565,875,310,111,33,1,,673
"Viudo(a) (020)",3440,54,1271,1235,311,143,69,39,2,,316
"Divorciado(a) (021)",170,4,64,57,14,11,4,,,,16
"Soltero(a) (022)",2338,11,332,297,99,45,19,6,,,1529
