"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia OXAPAMPA (000)",562,138,424
"Sin nivel (001)",12,3,9
"Educación inicial (002)",2,,2
"Primaria (003)",175,42,133
"Secundaria (004)",263,70,193
"Superior no univ. incompleta (005)",24,5,19
"Superior no univ. completa (006)",32,3,29
"Superior univ. incompleta (007)",16,5,11
"Superior univ. completa (008)",38,10,28
"Hombres (010)",405,87,318
"Sin nivel (011)",8,2,6
"Educación inicial (012)",1,,1
"Primaria (013)",138,29,109
"Secundaria (014)",196,48,148
"Superior no univ. incompleta (015)",13,3,10
"Superior no univ. completa (016)",18,,18
"Superior univ. incompleta (017)",10,3,7
"Superior univ. completa (018)",21,2,19
"Mujeres (020)",157,51,106
"Sin nivel (021)",4,1,3
"Educación inicial (022)",1,,1
"Primaria (023)",37,13,24
"Secundaria (024)",67,22,45
"Superior no univ. incompleta (025)",11,2,9
"Superior no univ. completa (026)",14,3,11
"Superior univ. incompleta (027)",6,2,4
"Superior univ. completa (028)",17,8,9
,,,
"AREA URBANA (030)",314,56,258
"Sin nivel (031)",5,,5
"Educación inicial (032)",2,,2
"Primaria (033)",71,6,65
"Secundaria (034)",148,34,114
"Superior no univ. incompleta (035)",17,3,14
"Superior no univ. completa (036)",28,2,26
"Superior univ. incompleta (037)",13,4,9
"Superior univ. completa (038)",30,7,23
"Hombres (040)",209,29,180
"Sin nivel (041)",3,,3
"Educación inicial (042)",1,,1
"Primaria (043)",54,4,50
"Secundaria (044)",100,19,81
"Superior no univ. incompleta (045)",8,1,7
"Superior no univ. completa (046)",16,,16
"Superior univ. incompleta (047)",9,3,6
"Superior univ. completa (048)",18,2,16
"Mujeres (050)",105,27,78
"Sin nivel (051)",2,,2
"Educación inicial (052)",1,,1
"Primaria (053)",17,2,15
"Secundaria (054)",48,15,33
"Superior no univ. incompleta (055)",9,2,7
"Superior no univ. completa (056)",12,2,10
"Superior univ. incompleta (057)",4,1,3
"Superior univ. completa (058)",12,5,7
,,,
"AREA RURAL (060)",248,82,166
"Sin nivel (061)",7,3,4
"Primaria (063)",104,36,68
"Secundaria (064)",115,36,79
"Superior no univ. incompleta (065)",7,2,5
"Superior no univ. completa (066)",4,1,3
"Superior univ. incompleta (067)",3,1,2
"Superior univ. completa (068)",8,3,5
"Hombres (070)",196,58,138
"Sin nivel (071)",5,2,3
"Primaria (073)",84,25,59
"Secundaria (074)",96,29,67
"Superior no univ. incompleta (075)",5,2,3
"Superior no univ. completa (076)",2,,2
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",3,,3
"Mujeres (080)",52,24,28
"Sin nivel (081)",2,1,1
"Primaria (083)",20,11,9
"Secundaria (084)",19,7,12
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",2,1,1
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",5,3,2
