"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia SAN MARCOS",,,,,
"Viviendas particulares (001)",855,195,140,264,256
"Ocupantes presentes (002)",3316,684,551,1021,1060
"Casa independiente",,,,,
"Viviendas particulares (004)",836,192,140,259,245
"Ocupantes presentes (005)",3249,676,551,999,1023
"Departamento en edificio",,,,,
"Viviendas particulares (007)",3,3,,,
"Ocupantes presentes (008)",8,8,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",8,,,5,3
"Ocupantes presentes (011)",34,,,22,12
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",2,,,,2
"Ocupantes presentes (014)",7,,,,7
"Choza o cabaña",,,,,
"Viviendas particulares (016)",6,,,,6
"Ocupantes presentes (017)",18,,,,18
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",175,32,14,50,79
"Ocupantes presentes (029)",750,98,57,213,382
"Casa independiente",,,,,
"Viviendas particulares (031)",162,29,14,45,74
"Ocupantes presentes (032)",701,90,57,191,363
"Departamento en edificio",,,,,
"Viviendas particulares (034)",3,3,,,
"Ocupantes presentes (035)",8,8,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",8,,,5,3
"Ocupantes presentes (038)",34,,,22,12
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",2,,,,2
"Ocupantes presentes (041)",7,,,,7
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",680,163,126,214,177
"Ocupantes presentes (056)",2566,586,494,808,678
"Casa independiente",,,,,
"Viviendas particulares (058)",674,163,126,214,171
"Ocupantes presentes (059)",2548,586,494,808,660
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",6,,,,6
"Ocupantes presentes (071)",18,,,,18
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
