"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PICOTA (000)",9582,288,5186,2344,574,184,90,29,2,,885
"Catolica (001)",6761,179,3636,1660,422,131,68,23,2,,640
"Cristiana / Evangelica (002)",1767,58,990,422,107,40,14,5,,,131
"Otra (003)",636,26,333,167,31,7,7,1,,,64
"Ninguna (004)",418,25,227,95,14,6,1,,,,50
,,,,,,,,,,,
"URBANA (006)",6275,174,3302,1554,415,136,70,21,1,,602
"Catolica (007)",4652,121,2429,1169,318,95,59,15,1,,445
"Cristiana / Evangelica (008)",1069,33,587,245,73,31,6,5,,,89
"Otra (009)",339,11,167,92,16,5,4,1,,,43
"Ninguna (010)",215,9,119,48,8,5,1,,,,25
,,,,,,,,,,,
"RURAL (012)",3307,114,1884,790,159,48,20,8,1,,283
"Catolica (013)",2109,58,1207,491,104,36,9,8,1,,195
"Cristiana / Evangelica (014)",698,25,403,177,34,9,8,,,,42
"Otra (015)",297,15,166,75,15,2,3,,,,21
"Ninguna (016)",203,16,108,47,6,1,,,,,25
