"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",24250,351,5631,6507,4865,4131,2765
"Jefe o Jefa (001)",7847,,11,1352,2344,2366,1774
"Esposa(o) / compañera(o) (002)",4122,,6,834,1381,1239,662
"Hijo(a) / hijastro(a) (003)",8673,253,4583,3125,528,179,5
"Yerno / nuera (004)",261,,3,152,86,20,
"Nieto(a) (005)",843,67,584,175,17,,
"Padres / suegros (006)",221,,,,8,56,157
"Otro(a) pariente (007)",1444,28,369,538,240,162,107
"Trabajador(a) del hogar (008)",25,,,20,2,1,2
"Pensionistas (009)",19,,,10,8,,1
"Otro(a) no pariente (010)",795,3,75,301,251,108,57
"Hombres (011)",12689,173,2899,3437,2576,2161,1443
"Jefe o Jefa (012)",5834,,7,948,1824,1785,1270
"Esposa(o) / compañera(o) (013)",229,,3,63,80,55,28
"Hijo(a) / hijastro(a) (014)",4650,130,2326,1770,310,110,4
"Yerno / nuera (015)",125,,2,59,49,15,
"Nieto(a) (016)",451,32,308,99,12,,
"Padres / suegros (017)",74,,,,3,21,50
"Otro(a) pariente (018)",813,10,208,301,141,95,58
"Trabajador(a) del hogar (019)",13,,,9,2,1,1
"Pensionistas (020)",14,,,8,5,,1
"Otro(a) no pariente (021)",486,1,45,180,150,79,31
"Mujeres (022)",11561,178,2732,3070,2289,1970,1322
"Jefe o Jefa (023)",2013,,4,404,520,581,504
"Esposa(o) / compañera(o) (024)",3893,,3,771,1301,1184,634
"Hijo(a) / hijastro(a) (025)",4023,123,2257,1355,218,69,1
"Yerno / nuera (026)",136,,1,93,37,5,
"Nieto(a) (027)",392,35,276,76,5,,
"Padres / suegros (028)",147,,,,5,35,107
"Otro(a) pariente (029)",631,18,161,237,99,67,49
"Trabajador(a) del hogar (030)",12,,,11,,,1
"Pensionistas (031)",5,,,2,3,,
"Otro(a) no pariente (032)",309,2,30,121,101,29,26
,,,,,,,
"URBANA (033)",10714,171,2421,3079,2211,1717,1115
"Jefe o Jefa (034)",3358,,4,668,1032,953,701
"Esposa(o) / compañera(o) (035)",1826,,2,410,603,526,285
"Hijo(a) / hijastro(a) (036)",3771,122,1962,1332,268,85,2
"Yerno / nuera (037)",112,,1,61,45,5,
"Nieto(a) (038)",401,37,261,94,9,,
"Padres / suegros (039)",124,,,,7,37,80
"Otro(a) pariente (040)",682,10,163,306,105,65,33
"Trabajador(a) del hogar (041)",21,,,18,2,1,
"Pensionistas (042)",15,,,8,6,,1
"Otro(a) no pariente (043)",404,2,28,182,134,45,13
"Hombres (044)",5526,81,1247,1583,1159,888,568
"Jefe o Jefa (045)",2451,,2,437,794,720,498
"Esposa(o) / compañera(o) (046)",130,,,39,42,29,20
"Hijo(a) / hijastro(a) (047)",2019,60,1004,748,154,51,2
"Yerno / nuera (048)",50,,1,21,24,4,
"Nieto(a) (049)",204,16,131,52,5,,
"Padres / suegros (050)",43,,,,3,15,25
"Otro(a) pariente (051)",373,4,92,170,58,33,16
"Trabajador(a) del hogar (052)",12,,,9,2,1,
"Pensionistas (053)",10,,,6,3,,1
"Otro(a) no pariente (054)",234,1,17,101,74,35,6
"Mujeres (055)",5188,90,1174,1496,1052,829,547
"Jefe o Jefa (056)",907,,2,231,238,233,203
"Esposa(o) / compañera(o) (057)",1696,,2,371,561,497,265
"Hijo(a) / hijastro(a) (058)",1752,62,958,584,114,34,
"Yerno / nuera (059)",62,,,40,21,1,
"Nieto(a) (060)",197,21,130,42,4,,
"Padres / suegros (061)",81,,,,4,22,55
"Otro(a) pariente (062)",309,6,71,136,47,32,17
"Trabajador(a) del hogar (063)",9,,,9,,,
"Pensionistas (064)",5,,,2,3,,
"Otro(a) no pariente (065)",170,1,11,81,60,10,7
,,,,,,,
"RURAL (066)",13536,180,3210,3428,2654,2414,1650
"Jefe o Jefa (067)",4489,,7,684,1312,1413,1073
"Esposa(o) / compañera(o) (068)",2296,,4,424,778,713,377
"Hijo(a) / hijastro(a) (069)",4902,131,2621,1793,260,94,3
"Yerno / nuera (070)",149,,2,91,41,15,
"Nieto(a) (071)",442,30,323,81,8,,
"Padres / suegros (072)",97,,,,1,19,77
"Otro(a) pariente (073)",762,18,206,232,135,97,74
"Trabajador(a) del hogar (074)",4,,,2,,,2
"Pensionistas (075)",4,,,2,2,,
"Otro(a) no pariente (076)",391,1,47,119,117,63,44
"Hombres (077)",7163,92,1652,1854,1417,1273,875
"Jefe o Jefa (078)",3383,,5,511,1030,1065,772
"Esposa(o) / compañera(o) (079)",99,,3,24,38,26,8
"Hijo(a) / hijastro(a) (080)",2631,70,1322,1022,156,59,2
"Yerno / nuera (081)",75,,1,38,25,11,
"Nieto(a) (082)",247,16,177,47,7,,
"Padres / suegros (083)",31,,,,,6,25
"Otro(a) pariente (084)",440,6,116,131,83,62,42
"Trabajador(a) del hogar (085)",1,,,,,,1
"Pensionistas (086)",4,,,2,2,,
"Otro(a) no pariente (087)",252,,28,79,76,44,25
"Mujeres (088)",6373,88,1558,1574,1237,1141,775
"Jefe o Jefa (089)",1106,,2,173,282,348,301
"Esposa(o) / compañera(o) (090)",2197,,1,400,740,687,369
"Hijo(a) / hijastro(a) (091)",2271,61,1299,771,104,35,1
"Yerno / nuera (092)",74,,1,53,16,4,
"Nieto(a) (093)",195,14,146,34,1,,
"Padres / suegros (094)",66,,,,1,13,52
"Otro(a) pariente (095)",322,12,90,101,52,35,32
"Trabajador(a) del hogar (096)",3,,,2,,,1
"Otro(a) no pariente (098)",139,1,19,40,41,19,19
