"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DOS DE MAYO (000)",12132,255,3632,4051,3134,1060
"Empleado (001)",1417,4,327,731,341,14
"Obrero (002)",2992,39,1109,918,696,230
"Trabajador independiente (003)",5083,6,1126,1761,1568,622
"Empleador o patrono (004)",323,,53,120,107,43
"Trabajador familiar no remunerado (005)",2152,200,926,485,397,144
"Trabajador del hogar (006)",165,6,91,36,25,7
"Hombres (008)",9014,165,2764,2924,2333,828
"Empleado (009)",809,3,167,400,230,9
"Obrero (010)",2803,36,1044,857,653,213
"Trabajador independiente (011)",3983,5,874,1374,1220,510
"Empleador o patrono (012)",266,,45,101,85,35
"Trabajador familiar no remunerado (013)",1129,119,620,188,143,59
"Trabajador del hogar (014)",24,2,14,4,2,2
"Mujeres (016)",3118,90,868,1127,801,232
"Empleado (017)",608,1,160,331,111,5
"Obrero (018)",189,3,65,61,43,17
"Trabajador independiente (019)",1100,1,252,387,348,112
"Empleador o patrono (020)",57,,8,19,22,8
"Trabajador familiar no remunerado (021)",1023,81,306,297,254,85
"Trabajador del hogar (022)",141,4,77,32,23,5
,,,,,,
"URBANA (024)",4626,47,1319,1780,1182,298
"Empleado (025)",1204,3,267,634,291,9
"Obrero (026)",754,5,296,250,156,47
"Trabajador independiente (027)",2086,5,486,764,625,206
"Empleador o patrono (028)",50,,19,18,10,3
"Trabajador familiar no remunerado (029)",426,29,190,92,85,30
"Trabajador del hogar (030)",106,5,61,22,15,3
"Hombres (032)",3141,34,921,1151,812,223
"Empleado (033)",678,3,134,336,198,7
"Obrero (034)",698,5,276,229,145,43
"Trabajador independiente (035)",1475,4,350,531,433,157
"Empleador o patrono (036)",40,,15,15,7,3
"Trabajador familiar no remunerado (037)",237,21,136,38,29,13
"Trabajador del hogar (038)",13,1,10,2,,
"Mujeres (040)",1485,13,398,629,370,75
"Empleado (041)",526,,133,298,93,2
"Obrero (042)",56,,20,21,11,4
"Trabajador independiente (043)",611,1,136,233,192,49
"Empleador o patrono (044)",10,,4,3,3,
"Trabajador familiar no remunerado (045)",189,8,54,54,56,17
"Trabajador del hogar (046)",93,4,51,20,15,3
,,,,,,
"RURAL (048)",7506,208,2313,2271,1952,762
"Empleado (049)",213,1,60,97,50,5
"Obrero (050)",2238,34,813,668,540,183
"Trabajador independiente (051)",2997,1,640,997,943,416
"Empleador o patrono (052)",273,,34,102,97,40
"Trabajador familiar no remunerado (053)",1726,171,736,393,312,114
"Trabajador del hogar (054)",59,1,30,14,10,4
"Hombres (056)",5873,131,1843,1773,1521,605
"Empleado (057)",131,,33,64,32,2
"Obrero (058)",2105,31,768,628,508,170
"Trabajador independiente (059)",2508,1,524,843,787,353
"Empleador o patrono (060)",226,,30,86,78,32
"Trabajador familiar no remunerado (061)",892,98,484,150,114,46
"Trabajador del hogar (062)",11,1,4,2,2,2
"Mujeres (064)",1633,77,470,498,431,157
"Empleado (065)",82,1,27,33,18,3
"Obrero (066)",133,3,45,40,32,13
"Trabajador independiente (067)",489,,116,154,156,63
"Empleador o patrono (068)",47,,4,16,19,8
"Trabajador familiar no remunerado (069)",834,73,252,243,198,68
"Trabajador del hogar (070)",48,,26,12,8,2
