"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUANCA SANCOS (000)",3400,1417,1983
"Red pública dentro de la vivienda (001)",501,394,107
"Red pública fuera de la vivienda (002)",189,121,68
"Pilón de uso público (003)",77,37,40
"Camión - cisterna u otro similar (004)",2,2,
"Pozo (005)",153,41,112
"Río, acequia, manatial o similar (006)",2295,757,1538
"Vecino (007)",153,59,94
"Otro (008)",30,6,24
,,,
"URBANA (010)",2117,1178,939
"Red pública dentro de la vivienda (011)",479,386,93
"Red pública fuera de la vivienda (012)",182,120,62
"Pilón de uso público (013)",41,18,23
"Camión - cisterna u otro similar (014)",1,1,
"Pozo (015)",8,3,5
"Río, acequia, manatial o similar (016)",1282,607,675
"Vecino (017)",106,38,68
"Otro (018)",18,5,13
,,,
"RURAL (020)",1283,239,1044
"Red pública dentro de la vivienda (021)",22,8,14
"Red pública fuera de la vivienda (022)",7,1,6
"Pilón de uso público (023)",36,19,17
"Camión - cisterna u otro similar (024)",1,1,
"Pozo (025)",145,38,107
"Río, acequia, manatial o similar (026)",1013,150,863
"Vecino (027)",47,21,26
"Otro (028)",12,1,11
