"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",34644,1190,12137,11775,8042,1500
"Agric., ganadería, caza y silvicultura (001)",17281,682,5797,5479,4290,1033
"Pesca (002)",304,6,84,112,82,20
"Explotación de minas y canteras (003)",21,,5,9,6,1
"Industrias manufactureras (004)",1122,33,394,386,265,44
"Suministro de electricidad, gas y agua (005)",51,,14,21,16,
"Construcción (006)",1164,11,391,476,271,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3914,154,1273,1400,917,170
"Venta, mant.y rep. veh.autom.y motoc. (008)",383,21,163,107,82,10
"Comercio al por mayor (009)",192,6,69,73,35,9
"Comercio al por menor (010)",3339,127,1041,1220,800,151
"Hoteles y restaurantes (011)",1080,53,375,361,261,30
"Trans., almac. y comunicaciones (012)",1943,18,990,627,295,13
"Intermediación financiera (013)",44,,23,17,4,
"Activid.inmobil., empres. y alquileres (014)",683,2,282,233,152,14
"Admin.pub. y defensa; p. segur.soc afil (015)",603,,168,255,173,7
"Enseñanza (016)",1928,1,308,1084,527,8
"Servicios sociales y de salud (017)",454,2,114,222,106,10
"Otras activ. serv.comun.soc y personales (018)",506,27,209,153,104,13
"Hogares privados con servicio doméstico (019)",1060,87,636,200,107,30
"Actividad economica no especificada (021)",1214,24,482,385,279,44
"Desocupado (022)",1272,90,592,355,187,48
"Hombres (023)",24678,814,8678,8301,5765,1120
"Agric., ganadería, caza y silvicultura (024)",14030,512,4786,4474,3421,837
"Pesca (025)",290,6,78,106,81,19
"Explotación de minas y canteras (026)",19,,4,9,6,
"Industrias manufactureras (027)",857,31,332,279,180,35
"Suministro de electricidad, gas y agua (028)",44,,14,16,14,
"Construcción (029)",1134,11,378,462,268,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1973,106,676,639,455,97
"Venta, mant.y rep. veh.autom.y motoc. (031)",360,20,153,97,80,10
"Comercio al por mayor (032)",104,4,33,40,22,5
"Comercio al por menor (033)",1509,82,490,502,353,82
"Hoteles y restaurantes (034)",244,23,108,63,44,6
"Trans., almac. y comunicaciones (035)",1838,16,930,594,285,13
"Intermediación financiera (036)",28,,14,11,3,
"Activid.inmobil., empres. y alquileres (037)",493,2,188,171,120,12
"Admin.pub. y defensa; p. segur.soc afil (038)",430,,111,186,127,6
"Enseñanza (039)",1087,1,172,605,303,6
