"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PARURO (000)",8177,132,3529,2461,661,199,117,41,14,,1023
"Conviviente (001)",2810,45,1308,806,189,55,32,8,2,,365
"Separado(a) (002)",172,5,73,55,12,5,1,2,,,19
"Casado(a) (003)",3809,64,1706,1207,333,85,63,22,7,,322
"Viudo(a) (004)",1091,17,393,358,109,47,17,8,4,,138
"Divorciado(a) (005)",32,,11,10,6,,,,,,5
"Soltero(a) (006)",263,1,38,25,12,7,4,1,1,,174
,,,,,,,,,,,
"URBANA (008)",2934,43,1099,878,307,96,56,18,6,,431
"Conviviente (009)",1000,14,388,319,95,27,16,3,1,,137
"Separado(a) (010)",67,2,29,24,6,1,1,2,,,2
"Casado(a) (011)",1335,17,537,410,149,43,28,9,4,,138
"Viudo(a) (012)",389,9,122,112,51,21,8,4,1,,61
"Divorciado(a) (013)",7,,3,1,1,,,,,,2
"Soltero(a) (014)",136,1,20,12,5,4,3,,,,91
,,,,,,,,,,,
"RURAL (016)",5243,89,2430,1583,354,103,61,23,8,,592
"Conviviente (017)",1810,31,920,487,94,28,16,5,1,,228
"Separado(a) (018)",105,3,44,31,6,4,,,,,17
"Casado(a) (019)",2474,47,1169,797,184,42,35,13,3,,184
"Viudo(a) (020)",702,8,271,246,58,26,9,4,3,,77
"Divorciado(a) (021)",25,,8,9,5,,,,,,3
"Soltero(a) (022)",127,,18,13,7,3,1,1,1,,83
