"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN PABLO (000)",19910,5694,1320,175,12739
"Hombres (001)",9631,2611,653,111,6264
"Mujeres (002)",10279,3083,667,64,6475
"PEA (003)",6729,1065,526,86,5061
"Hombres (004)",5211,709,317,68,4122
"Mujeres (005)",1518,356,209,18,939
"Ocupada (006)",5923,965,499,77,4391
"Hombres (007)",4604,641,299,63,3606
"Mujeres (008)",1319,324,200,14,785
"Desocupada (009)",806,100,27,9,670
"Hombres (010)",607,68,18,5,516
"Mujeres (011)",199,32,9,4,154
"No PEA (012)",13181,4629,794,89,7678
"Hombres (013)",4420,1902,336,43,2142
"Mujeres (014)",8761,2727,458,46,5536
,,,,,
"URBANA (018)",3122,430,693,95,1907
"Hombres (019)",1511,209,330,58,916
"Mujeres (020)",1611,221,363,37,991
"PEA (021)",1316,97,343,49,830
"Hombres (022)",844,59,178,36,573
"Mujeres (023)",472,38,165,13,257
"Ocupada (024)",1184,89,340,46,712
"Hombres (025)",748,53,176,34,487
"Mujeres (026)",436,36,164,12,225
"Desocupada (027)",132,8,3,3,118
"Hombres (028)",96,6,2,2,86
"Mujeres (029)",36,2,1,1,32
"No PEA (030)",1806,333,350,46,1077
"Hombres (031)",667,150,152,22,343
"Mujeres (032)",1139,183,198,24,734
,,,,,
"RURAL (036)",16788,5264,627,80,10832
"Hombres (037)",8120,2402,323,53,5348
"Mujeres (038)",8668,2862,304,27,5484
"PEA (039)",5413,968,183,37,4231
"Hombres (040)",4367,650,139,32,3549
"Mujeres (041)",1046,318,44,5,682
"Ocupada (042)",4739,876,159,31,3679
"Hombres (043)",3856,588,123,29,3119
"Mujeres (044)",883,288,36,2,560
"Desocupada (045)",674,92,24,6,552
"Hombres (046)",511,62,16,3,430
"Mujeres (047)",163,30,8,3,122
"No PEA (048)",11375,4296,444,43,6601
"Hombres (049)",3753,1752,184,21,1799
"Mujeres (050)",7622,2544,260,22,4802
