"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA CONVENCION (000)",41392,1076,18500,11566,3473,1186,487,145,24,,4935
"Sin Nivel (001)",9118,376,3930,2435,784,347,170,70,8,,998
"Educación Inicial (002)",52,6,19,9,,,,,,,18
"Primaria (003)",15386,528,8261,3798,921,289,137,48,8,,1396
"Secundaria (004)",12844,152,5688,4091,942,269,95,19,4,,1584
"Sup. no Univ. Incompleta (005)",923,4,186,326,152,37,5,1,1,,211
"Sup. no Univ. Completa (006)",1312,4,189,425,294,88,26,2,,,284
"Sup. Univ. Incompleta (007)",575,2,112,163,80,26,12,1,,,179
"Sup. Univ. Completa (008)",1182,4,115,319,300,130,42,4,3,,265
,,,,,,,,,,,
"URBANA (010)",13153,228,5071,3803,1454,501,226,73,11,,1786
"Sin Nivel (011)",1518,59,613,369,150,69,45,21,2,,190
"Educación Inicial (012)",9,,1,2,,,,,,,6
"Primaria (013)",3535,105,1764,888,266,100,60,31,3,,318
"Secundaria (014)",5287,55,2271,1680,442,139,50,14,2,,634
"Sup. no Univ. Incompleta (015)",576,1,119,198,96,24,4,1,1,,132
"Sup. no Univ. Completa (016)",883,4,132,292,206,55,22,1,,,171
"Sup. Univ. Incompleta (017)",455,1,84,128,65,20,11,1,,,145
"Sup. Univ. Completa (018)",890,3,87,246,229,94,34,4,3,,190
,,,,,,,,,,,
"RURAL (020)",28239,848,13429,7763,2019,685,261,72,13,,3149
"Sin Nivel (021)",7600,317,3317,2066,634,278,125,49,6,,808
"Educación Inicial (022)",43,6,18,7,,,,,,,12
"Primaria (023)",11851,423,6497,2910,655,189,77,17,5,,1078
"Secundaria (024)",7557,97,3417,2411,500,130,45,5,2,,950
"Sup. no Univ. Incompleta (025)",347,3,67,128,56,13,1,,,,79
"Sup. no Univ. Completa (026)",429,,57,133,88,33,4,1,,,113
"Sup. Univ. Incompleta (027)",120,1,28,35,15,6,1,,,,34
"Sup. Univ. Completa (028)",292,1,28,73,71,36,8,,,,75
