"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",1957,1567,390
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",677,578,99
"Casa pensión (003)",61,61,
"Hospital, clinica (004)",61,59,2
"Aldea infantil, orfelinato, etc (007)",39,39,
"Otro (008)",809,531,278
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",310,299,11
