"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CASTROVIRREYNA (000)",5978,18472,1888,5542,4090,12930
"Casa independiente (001)",5163,16255,1723,5161,3440,11094
"Departamento en edificio (002)",2,4,2,4,,
"Vivienda en quinta (003)",8,13,8,13,,
"Vivienda en casa de vecindad (004)",52,145,52,145,,
"Choza o cabaña (005)",634,1794,,,634,1794
"Vivienda improvisada (006)",6,26,6,26,,
"Local no dest.para hab. humana (007)",9,25,6,17,3,8
"Otro tipo (008)",104,210,91,176,13,34
