"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA UNION (000)",4296,53,1786,1364,440,170,57,17,3,,406
"Sin Nivel (001)",1673,35,725,527,134,53,19,9,3,,168
"Educación Inicial (002)",7,,5,1,,1,,,,,
"Primaria (003)",1405,13,674,456,106,38,11,4,,,103
"Secundaria (004)",645,4,274,211,66,23,5,3,,,59
"Sup. no Univ. Incompleta (005)",92,,23,31,16,6,1,1,,,14
"Sup. no Univ. Completa (006)",223,,46,68,47,24,4,,,,34
"Sup. Univ. Incompleta (007)",49,,7,23,11,3,1,,,,4
"Sup. Univ. Completa (008)",202,1,32,47,60,22,16,,,,24
,,,,,,,,,,,
"URBANA (010)",2050,22,733,703,266,100,40,10,2,,174
"Sin Nivel (011)",598,12,215,209,63,22,11,3,2,,61
"Educación Inicial (012)",3,,2,,,1,,,,,
"Primaria (013)",666,6,286,247,60,22,5,3,,,37
"Secundaria (014)",362,3,156,122,38,10,4,3,,,26
"Sup. no Univ. Incompleta (015)",57,,14,20,7,6,1,1,,,8
"Sup. no Univ. Completa (016)",163,,32,51,39,17,3,,,,21
"Sup. Univ. Incompleta (017)",30,,3,13,9,2,1,,,,2
"Sup. Univ. Completa (018)",171,1,25,41,50,20,15,,,,19
,,,,,,,,,,,
"RURAL (020)",2246,31,1053,661,174,70,17,7,1,,232
"Sin Nivel (021)",1075,23,510,318,71,31,8,6,1,,107
"Educación Inicial (022)",4,,3,1,,,,,,,
"Primaria (023)",739,7,388,209,46,16,6,1,,,66
"Secundaria (024)",283,1,118,89,28,13,1,,,,33
"Sup. no Univ. Incompleta (025)",35,,9,11,9,,,,,,6
"Sup. no Univ. Completa (026)",60,,14,17,8,7,1,,,,13
"Sup. Univ. Incompleta (027)",19,,4,10,2,1,,,,,2
"Sup. Univ. Completa (028)",31,,7,6,10,2,1,,,,5
