"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CHACHAPOYAS (000)",22124,18315,3809
"De 3 a 5 años (001)",3147,157,2990
"De 6 a 11 años (002)",6333,5703,630
"De 12 a 16 años (003)",5775,5691,84
"De 17 a 24 años (004)",6869,6764,105
"Hombres (005)",11040,9102,1938
"De 3 a 5 años (006)",1597,85,1512
"De 6 a 11 años (007)",3198,2864,334
"De 12 a 16 años (008)",2891,2855,36
"De 17 a 24 años (009)",3354,3298,56
"Mujeres (010)",11084,9213,1871
"De 3 a 5 años (011)",1550,72,1478
"De 6 a 11 años (012)",3135,2839,296
"De 12 a 16 años (013)",2884,2836,48
"De 17 a 24 años (014)",3515,3466,49
,,,
"URBANA (015)",15108,12833,2275
"De 3 a 5 años (016)",1974,112,1862
"De 6 a 11 años (017)",4105,3770,335
"De 12 a 16 años (018)",4057,4016,41
"De 17 a 24 años (019)",4972,4935,37
"Hombres (020)",7356,6178,1178
"De 3 a 5 años (021)",1030,63,967
"De 6 a 11 años (022)",2031,1860,171
"De 12 a 16 años (023)",1963,1948,15
"De 17 a 24 años (024)",2332,2307,25
"Mujeres (025)",7752,6655,1097
"De 3 a 5 años (026)",944,49,895
"De 6 a 11 años (027)",2074,1910,164
"De 12 a 16 años (028)",2094,2068,26
"De 17 a 24 años (029)",2640,2628,12
,,,
"RURAL (030)",7016,5482,1534
"De 3 a 5 años (031)",1173,45,1128
"De 6 a 11 años (032)",2228,1933,295
"De 12 a 16 años (033)",1718,1675,43
"De 17 a 24 años (034)",1897,1829,68
"Hombres (035)",3684,2924,760
"De 3 a 5 años (036)",567,22,545
"De 6 a 11 años (037)",1167,1004,163
"De 12 a 16 años (038)",928,907,21
"De 17 a 24 años (039)",1022,991,31
"Mujeres (040)",3332,2558,774
"De 3 a 5 años (041)",606,23,583
"De 6 a 11 años (042)",1061,929,132
"De 12 a 16 años (043)",790,768,22
"De 17 a 24 años (044)",875,838,37
