"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PISCO (000)",112550,8259,2926,31768,44718,6458,9701,3616,5104
"Jefe o Jefa (001)",31694,1033,17,8178,14204,1769,3491,940,2062
"Esposa(o)/ compa¤era(o) (002)",19531,818,12,4982,8828,1213,2236,425,1017
"Hijo(a)/ hijastro(a) (003)",45282,4547,2242,14024,15928,2596,2788,1776,1381
"Yerno/ nuera (004)",2020,18,1,129,1071,198,373,80,150
"Nieto(a) (005)",5132,1019,479,1949,1279,162,91,110,43
"Padres/ suegros (006)",1298,321,,656,245,14,34,9,19
"Otro(a) pariente (007)",6082,443,164,1550,2515,399,491,205,315
"Trabajador(a) del hogar (008)",97,1,,24,58,5,2,5,2
"Pensionista (009)",152,5,,27,64,13,27,4,12
"Otro(a) no pariente (010)",1262,54,11,249,526,89,168,62,103
"Hombres (012)",56773,3572,1508,15489,23687,3189,4601,1993,2734
"Jefe o Jefa (013)",22873,370,6,5383,10861,1297,2563,756,1637
"Esposa(o)/ compa¤era(o) (014)",1638,36,1,361,855,105,138,41,101
"Hijo(a)/ hijastro(a) (015)",23754,2290,1172,7378,8735,1338,1278,920,643
"Yerno/ nuera (016)",1072,7,,56,557,103,205,45,99
"Nieto(a) (017)",2783,558,236,1044,705,92,58,62,28
"Padres/ suegros (018)",470,73,,256,104,10,10,6,11
"Otro(a) pariente (019)",3379,209,88,848,1518,192,251,118,155
"Trabajador(a) del hogar (020)",42,,,9,25,3,1,3,1
"Pensionista (021)",107,3,,17,46,7,21,4,9
"Otro(a) no pariente (022)",655,26,5,137,281,42,76,38,50
"Mujeres (024)",55777,4687,1418,16279,21031,3269,5100,1623,2370
"Jefe o Jefa (025)",8821,663,11,2795,3343,472,928,184,425
"Esposa(o)/ compa¤era(o) (026)",17893,782,11,4621,7973,1108,2098,384,916
"Hijo(a)/ hijastro(a) (027)",21528,2257,1070,6646,7193,1258,1510,856,738
"Yerno/ nuera (028)",948,11,1,73,514,95,168,35,51
"Nieto(a) (029)",2349,461,243,905,574,70,33,48,15
"Padres/ suegros (030)",828,248,,400,141,4,24,3,8
"Otro(a) pariente (031)",2703,234,76,702,997,207,240,87,160
"Trabajador(a) del hogar (032)",55,1,,15,33,2,1,2,1
"Pensionista (033)",45,2,,10,18,6,6,,3
"Otro(a) no pariente (034)",607,28,6,112,245,47,92,24,53
,,,,,,,,,
"URBANA (036)",98351,6804,2579,26708,39118,5901,8998,3406,4837
"Jefe o Jefa (037)",27611,762,16,6644,12465,1643,3248,884,1949
"Esposa(o)/ compa¤era(o) (038)",16860,557,11,4014,7699,1111,2093,406,969
"Hijo(a)/ hijastro(a) (039)",39430,3898,1952,11985,13761,2327,2547,1663,1297
"Yerno/ nuera (040)",1852,16,1,108,967,192,344,79,145
"Nieto(a) (041)",4611,911,443,1740,1144,146,82,105,40
"Padres/ suegros (042)",1149,245,,606,226,12,32,9,19
"Otro(a) pariente (043)",5477,368,146,1358,2272,374,463,191,305
