"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHUMBIVILCAS (000)",64219,20517,15159,12455,10773,5315
"Hombres (001)",32398,10562,7663,6228,5435,2510
"Mujeres (002)",31821,9955,7496,6227,5338,2805
"PEA (003)",23561,581,6194,7950,6585,2251
"Hombres (004)",14680,320,3630,5024,4242,1464
"Mujeres (005)",8881,261,2564,2926,2343,787
"Ocupada (006)",23119,568,5959,7820,6539,2233
"Hombres (007)",14366,312,3475,4920,4208,1451
"Mujeres (008)",8753,256,2484,2900,2331,782
"Desocupada (009)",442,13,235,130,46,18
"Hombres (010)",314,8,155,104,34,13
"Mujeres (011)",128,5,80,26,12,5
"No PEA (012)",40658,19936,8965,4505,4188,3064
"Hombres (013)",17718,10242,4033,1204,1193,1046
"Mujeres (014)",22940,9694,4932,3301,2995,2018
,,,,,,
"URBANA (018)",15083,4419,4276,3324,2166,898
"Hombres (019)",7583,2261,2138,1680,1121,383
"Mujeres (020)",7500,2158,2138,1644,1045,515
"PEA (021)",6025,189,1862,2285,1375,314
"Hombres (022)",3666,121,1071,1405,878,191
"Mujeres (023)",2359,68,791,880,497,123
"Ocupada (024)",5769,184,1727,2201,1353,304
"Hombres (025)",3488,116,985,1336,866,185
"Mujeres (026)",2281,68,742,865,487,119
"Desocupada (027)",256,5,135,84,22,10
"Hombres (028)",178,5,86,69,12,6
"Mujeres (029)",78,,49,15,10,4
"No PEA (030)",9058,4230,2414,1039,791,584
"Hombres (031)",3917,2140,1067,275,243,192
"Mujeres (032)",5141,2090,1347,764,548,392
,,,,,,
"RURAL (036)",49136,16098,10883,9131,8607,4417
"Hombres (037)",24815,8301,5525,4548,4314,2127
"Mujeres (038)",24321,7797,5358,4583,4293,2290
"PEA (039)",17536,392,4332,5665,5210,1937
"Hombres (040)",11014,199,2559,3619,3364,1273
"Mujeres (041)",6522,193,1773,2046,1846,664
"Ocupada (042)",17350,384,4232,5619,5186,1929
"Hombres (043)",10878,196,2490,3584,3342,1266
"Mujeres (044)",6472,188,1742,2035,1844,663
"Desocupada (045)",186,8,100,46,24,8
"Hombres (046)",136,3,69,35,22,7
"Mujeres (047)",50,5,31,11,2,1
"No PEA (048)",31600,15706,6551,3466,3397,2480
"Hombres (049)",13801,8102,2966,929,950,854
"Mujeres (050)",17799,7604,3585,2537,2447,1626
