"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMBAYEQUE (000)",83738,1727,29337,27312,20420,4942
"Agric., ganadería, caza y silvicultura (001)",35874,990,11642,10835,9194,3213
"Pesca (002)",1080,20,543,325,183,9
"Explotación de minas y canteras (003)",208,1,95,71,38,3
"Industrias manufactureras (004)",6068,88,2628,2049,1091,212
"Suministro de electricidad, gas y agua (005)",158,1,34,60,57,6
"Construcción (006)",3372,21,1047,1287,903,114
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9726,227,2831,3466,2667,535
"Venta, mant.y rep. veh.autom.y motoc. (008)",946,7,419,297,198,25
"Comercio al por mayor (009)",478,5,178,176,100,19
"Comercio al por menor (010)",8302,215,2234,2993,2369,491
"Hoteles y restaurantes (011)",1780,38,625,550,498,69
"Trans., almac. y comunicaciones (012)",5967,26,2669,2094,1073,105
"Intermediación financiera (013)",148,,67,56,22,3
"Activid.inmobil., empres. y alquileres (014)",1525,5,633,542,306,39
"Admin.pub. y defensa; p. segur.soc afil (015)",1928,,395,810,686,37
"Enseñanza (016)",3735,1,854,1561,1267,52
"Servicios sociales y de salud (017)",980,,239,407,305,29
"Otras activ. serv.comun.soc y personales (018)",1693,30,566,617,405,75
"Hogares privados con servicio doméstico (019)",1737,68,965,453,219,32
"Organiz. y organos extraterritoriales (020)",1,,,1,,
"Actividad economica no especificada (021)",2473,14,868,897,572,122
"Desocupado (022)",5285,197,2636,1231,934,287
"Hombres (023)",63744,1246,21962,20224,15994,4318
"Agric., ganadería, caza y silvicultura (024)",32585,757,10492,9768,8538,3030
"Pesca (025)",1071,20,540,322,180,9
"Explotación de minas y canteras (026)",196,1,88,67,37,3
"Industrias manufactureras (027)",4368,76,1882,1417,809,184
"Suministro de electricidad, gas y agua (028)",138,1,26,52,53,6
"Construcción (029)",3309,20,1022,1261,893,113
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",5007,146,1588,1666,1305,302
"Venta, mant.y rep. veh.autom.y motoc. (031)",882,7,386,274,190,25
"Comercio al por mayor (032)",282,3,95,102,67,15
"Comercio al por menor (033)",3843,136,1107,1290,1048,262
"Hoteles y restaurantes (034)",464,18,216,113,97,20
"Trans., almac. y comunicaciones (035)",5640,23,2467,2004,1043,103
"Intermediación financiera (036)",89,,36,37,13,3
"Activid.inmobil., empres. y alquileres (037)",1093,5,403,403,246,36
