"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAJATAMBO (000)",92,3,52,19,11,7
"Sin nivel (001)",3,,,1,,2
"Primaria (003)",23,2,6,5,6,4
"Secundaria (004)",58,1,43,10,3,1
"Superior no univ. incompleta (005)",1,,,,1,
"Superior no univ. completa (006)",3,,2,1,,
"Superior univ. incompleta (007)",3,,1,2,,
"Superior univ. completa (008)",1,,,,1,
"Hombres (010)",82,2,48,17,11,4
"Sin nivel (011)",1,,,1,,
"Primaria (013)",20,2,6,3,6,3
"Secundaria (014)",55,,41,10,3,1
"Superior no univ. incompleta (015)",1,,,,1,
"Superior no univ. completa (016)",2,,1,1,,
"Superior univ. incompleta (017)",2,,,2,,
"Superior univ. completa (018)",1,,,,1,
"Mujeres (020)",10,1,4,2,,3
"Sin nivel (021)",2,,,,,2
"Primaria (023)",3,,,2,,1
"Secundaria (024)",3,1,2,,,
"Superior no univ. completa (026)",1,,1,,,
"Superior univ. incompleta (027)",1,,1,,,
,,,,,,
"Area Urbana (030)",55,2,30,10,7,6
"Sin nivel (031)",3,,,1,,2
"Primaria (033)",14,1,3,2,5,3
"Secundaria (034)",36,1,26,6,2,1
"Superior no univ. completa (036)",1,,,1,,
"Superior univ. incompleta (037)",1,,1,,,
"Hombres (040)",48,1,28,9,7,3
"Sin nivel (041)",1,,,1,,
"Primaria (043)",12,1,3,1,5,2
"Secundaria (044)",34,,25,6,2,1
"Superior no univ. completa (046)",1,,,1,,
"Mujeres (050)",7,1,2,1,,3
"Sin nivel (051)",2,,,,,2
"Primaria (053)",2,,,1,,1
"Secundaria (054)",2,1,1,,,
"Superior univ. incompleta (057)",1,,1,,,
,,,,,,
"Area Rural (060)",37,1,22,9,4,1
"Primaria (063)",9,1,3,3,1,1
"Secundaria (064)",22,,17,4,1,
"Superior no univ. incompleta (065)",1,,,,1,
"Superior no univ. completa (066)",2,,2,,,
"Superior univ. incompleta (067)",2,,,2,,
"Superior univ. completa (068)",1,,,,1,
"Hombres (070)",34,1,20,8,4,1
"Primaria (073)",8,1,3,2,1,1
"Secundaria (074)",21,,16,4,1,
"Superior no univ. incompleta (075)",1,,,,1,
"Superior no univ. completa (076)",1,,1,,,
"Superior univ. incompleta (077)",2,,,2,,
"Superior univ. completa (078)",1,,,,1,
"Mujeres (080)",3,,2,1,,
"Primaria (083)",1,,,1,,
"Secundaria (084)",1,,1,,,
"Superior no univ. completa (086)",1,,1,,,
