"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6010,5581,1439,949,905,697,756,383,452,429
"Católica (001)",5066,4699,1224,818,754,575,628,303,397,367
"Cristiana/Evangélica (002)",678,631,140,88,106,94,96,64,43,47
"Otra (003)",176,168,44,25,30,27,20,12,10,8
"Ninguna (004)",90,83,31,18,15,1,12,4,2,7
,,,,,,,,,,
"URBANA (006)",4725,4363,1141,754,708,551,596,296,317,362
"Católica (007)",3898,3593,946,646,574,446,485,226,270,305
"Cristiana/Evangélica (008)",576,534,122,69,91,80,82,55,35,42
"Otra (009)",165,157,42,24,29,24,17,11,10,8
"Ninguna (010)",86,79,31,15,14,1,12,4,2,7
,,,,,,,,,,
"RURAL (012)",1285,1218,298,195,197,146,160,87,135,67
"Católica (013)",1168,1106,278,172,180,129,143,77,127,62
"Cristiana/Evangélica (014)",102,97,18,19,15,14,14,9,8,5
"Otra (015)",11,11,2,1,1,3,3,1,,
"Ninguna (016)",4,4,,3,1,,,,,
