"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MIGUEL (000)",16091,15130,41,3097,2969,2281,3047,2033,1136,526,961,57644
"De 12 a 14 años (001)",19,7,,6,1,,,,,,12,8
"De 15 a 19 años (002)",397,329,3,287,35,2,2,,,,68,371
"De 20 a 24 años (003)",1436,1180,3,748,340,69,20,,,,256,1720
"De 25 a 29 años (004)",1789,1571,5,643,580,242,89,9,3,,218,2981
"De 30 a 34 años (005)",1798,1661,2,406,586,362,260,34,11,,137,4091
"De 35 a 39 años (006)",1922,1827,6,291,488,461,437,119,22,3,95,5535
"De 40 a 44 años (007)",1515,1472,1,174,286,342,429,182,45,13,43,5312
"De 45 a 49 años (008)",1400,1352,2,143,205,219,436,219,101,27,48,5676
"De 50 y más años (009)",5815,5731,19,399,448,584,1374,1470,954,483,84,31950
"PEA (010)",2042,1816,3,480,480,310,308,143,53,39,226,5494
"De 15 a 19 años (012)",28,23,,19,4,,,,,,5,27
"De 20 a 24 años (013)",165,100,1,62,31,4,2,,,,65,145
"De 25 a 29 años (014)",249,183,1,87,69,18,5,3,,,66,318
"De 30 a 34 años (015)",296,258,,90,86,47,28,6,1,,38,569
"De 35 a 39 años (016)",336,313,1,73,107,73,49,10,,,23,778
"De 40 a 44 años (017)",239,233,,41,67,57,52,13,3,,6,678
"De 45 a 49 años (018)",230,216,,46,48,41,56,14,6,5,14,706
"De 50 y más años (019)",499,490,,62,68,70,116,97,43,34,9,2273
"Ocupada (020)",1934,1751,3,456,464,303,301,138,51,35,183,5292
"De 15 a 19 años (022)",26,22,,19,3,,,,,,4,25
"De 20 a 24 años (023)",141,93,1,56,30,4,2,,,,48,137
