"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JUNIN (000)",9244,7457,448,288,1051
"Sin nivel (001)",957,923,21,7,6
"Educación inicial (002)",4,3,,,1
"Primaria (003)",2807,2651,87,27,42
"Secundaria (004)",2865,2473,134,98,160
"Superior no univ. incompleta (005)",431,303,32,15,81
"Superior no univ. completa (006)",790,458,65,30,237
"Superior univ. incompleta (007)",294,209,22,13,50
"Superior univ. completa (008)",1096,437,87,98,474
"De 06 a 14 años (010)",81,71,10,,
"Sin nivel (011)",4,3,1,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",46,38,8,,
"Secundaria (014)",30,29,1,,
"De 15 a 29 años (020)",2455,1912,150,83,310
"Sin nivel (021)",40,37,3,,
"Educación inicial (022)",2,1,,,1
"Primaria (023)",449,421,18,4,6
"Secundaria (024)",1094,947,58,36,53
"Superior no univ. incompleta (025)",194,135,15,9,35
"Superior no univ. completa (026)",306,174,31,11,90
"Superior univ. incompleta (027)",111,83,7,5,16
"Superior univ. completa (028)",259,114,18,18,109
"De 30 a 44 años (030)",3064,2310,179,118,457
"Sin nivel (031)",196,182,8,3,3
"Educación inicial (032)",1,1,,,
"Primaria (033)",774,721,29,12,12
"Secundaria (034)",1014,873,48,31,62
"Superior no univ. incompleta (035)",151,105,15,5,26
"Superior no univ. completa (036)",320,182,24,12,102
"Superior univ. incompleta (037)",101,69,10,7,15
"Superior univ. completa (038)",507,177,45,48,237
"De 45 a 64 años (040)",2680,2221,97,84,278
"Sin nivel (041)",355,342,7,3,3
"Primaria (043)",1055,996,27,10,22
"Secundaria (044)",670,568,26,31,45
"Superior no univ. incompleta (045)",75,52,2,1,20
"Superior no univ. completa (046)",150,89,9,7,45
"Superior univ. incompleta (047)",76,51,5,1,19
"Superior univ. completa (048)",299,123,21,31,124
"De 65 y más años (050)",964,943,12,3,6
"Sin nivel (051)",362,359,2,1,
"Primaria (053)",483,475,5,1,2
"Secundaria (054)",57,56,1,,
"Superior no univ. incompleta (055)",11,11,,,
"Superior no univ. completa (056)",14,13,1,,
"Superior univ. incompleta (057)",6,6,,,
"Superior univ. completa (058)",31,23,3,1,4
,,,,,
"URBANA (060)",5942,4368,355,217,1002
"Sin nivel (061)",412,386,14,6,6
