"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAYLLOMA (000)",32911,24326,4252,2121,2212
"Sin nivel (001)",3055,2588,310,100,57
"Educación inicial (002)",35,24,5,4,2
"Primaria (003)",9086,7296,1173,428,189
"Secundaria (004)",11510,8461,1586,772,691
"Superior no univ. incompleta (005)",2446,1732,304,161,249
"Superior no univ. completa (006)",2975,1835,351,269,520
"Superior univ. incompleta (007)",1287,927,159,87,114
"Superior univ. completa (008)",2517,1463,364,300,390
"De 06 a 14 años (010)",632,531,79,22,
"Sin nivel (011)",22,22,,,
"Educación inicial (012)",8,5,2,1,
"Primaria (013)",347,290,45,12,
"Secundaria (014)",255,214,32,9,
"De 15 a 29 años (020)",10954,7353,1671,899,1031
"Sin nivel (021)",166,121,24,14,7
"Educación inicial (022)",15,10,3,,2
"Primaria (023)",1750,1310,265,108,67
"Secundaria (024)",5526,3816,862,461,387
"Superior no univ. incompleta (025)",1163,779,146,89,149
"Superior no univ. completa (026)",1206,667,187,116,236
"Superior univ. incompleta (027)",534,362,83,37,52
"Superior univ. completa (028)",594,288,101,74,131
"De 30 a 44 años (030)",11418,8115,1565,832,906
"Sin nivel (031)",968,754,135,45,34
"Educación inicial (032)",12,9,,3,
"Primaria (033)",3075,2316,484,192,83
"Secundaria (034)",3680,2727,485,215,253
"Superior no univ. incompleta (035)",852,606,111,59,76
"Superior no univ. completa (036)",1251,760,127,130,234
"Superior univ. incompleta (037)",418,293,46,32,47
"Superior univ. completa (038)",1162,650,177,156,179
"De 45 a 64 años (040)",7609,6215,800,334,260
"Sin nivel (041)",1212,1050,115,34,13
"Primaria (043)",2833,2387,310,101,35
"Secundaria (044)",1787,1469,189,82,47
"Superior no univ. incompleta (045)",370,289,44,13,24
"Superior no univ. completa (046)",457,353,34,22,48
"Superior univ. incompleta (047)",291,232,28,16,15
"Superior univ. completa (048)",659,435,80,66,78
"De 65 y más años (050)",2298,2112,137,34,15
"Sin nivel (051)",687,641,36,7,3
"Primaria (053)",1081,993,69,15,4
"Secundaria (054)",262,235,18,5,4
"Superior no univ. incompleta (055)",61,58,3,,
"Superior no univ. completa (056)",61,55,3,1,2
"Superior univ. incompleta (057)",44,40,2,2,
