"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHEPEN (000)",71668,9129,1763,24991,22490,3267,4673,2143,3212
"Quechua (001)",64,14,2,23,11,6,5,2,1
"Aymara (002)",8,,1,5,2,,,,
"Ashaninca (003)",2,,,1,1,,,,
"Otra lengua nativa (004)",45,5,1,15,16,,4,2,2
"Castellano (005)",71483,9068,1758,24940,22454,3259,4664,2138,3202
"Idioma extranjero (006)",9,2,,1,,,,1,5
"Es sordomudo/a (007)",57,40,1,6,6,2,,,2
"Hombres (009)",35760,3596,900,12678,12190,1604,2015,1112,1665
"Quechua (010)",32,7,1,12,3,4,4,,1
"Aymara (011)",5,,1,3,1,,,,
"Ashaninca (012)",1,,,,1,,,,
"Otra lengua nativa (013)",24,4,1,6,9,,1,1,2
"Castellano (014)",35659,3562,896,12652,12170,1598,2010,1111,1660
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",38,23,1,5,6,2,,,1
"Mujeres (018)",35908,5533,863,12313,10300,1663,2658,1031,1547
"Quechua (019)",32,7,1,11,8,2,1,2,
"Aymara (020)",3,,,2,1,,,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",21,1,,9,7,,3,1,
"Castellano (023)",35824,5506,862,12288,10284,1661,2654,1027,1542
"Idioma extranjero (024)",8,2,,1,,,,1,4
"Es sordomudo/a (025)",19,17,,1,,,,,1
,,,,,,,,,
"URBANA (027)",58736,6633,1469,19473,18877,2911,4386,1978,3009
"Quechua (028)",40,8,,12,8,4,5,2,1
"Aymara (029)",8,,1,5,2,,,,
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",44,5,1,14,16,,4,2,2
"Castellano (032)",58588,6584,1466,19436,18846,2906,4377,1973,3000
"Idioma extranjero (033)",7,2,,,,,,1,4
"Es sordomudo/a (034)",47,34,1,5,4,1,,,2
"Hombres (036)",28923,2594,747,9718,10024,1416,1889,1010,1525
"Quechua (037)",20,4,,6,1,4,4,,1
"Aymara (038)",5,,1,3,1,,,,
"Ashaninca (039)",1,,,,1,,,,
"Otra lengua nativa (040)",23,4,1,5,9,,1,1,2
"Castellano (041)",28842,2566,744,9700,10008,1411,1884,1009,1520
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",31,20,1,4,4,1,,,1
"Mujeres (045)",29813,4039,722,9755,8853,1495,2497,968,1484
"Quechua (046)",20,4,,6,7,,1,2,
"Aymara (047)",3,,,2,1,,,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",21,1,,9,7,,3,1,
"Castellano (050)",29746,4018,722,9736,8838,1495,2493,964,1480
"Idioma extranjero (051)",6,2,,,,,,1,3
"Es sordomudo/a (052)",16,14,,1,,,,,1
,,,,,,,,,
"RURAL (054)",12932,2496,294,5518,3613,356,287,165,203
"Quechua (055)",24,6,2,11,3,2,,,
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",12895,2484,292,5504,3608,353,287,165,202
"Idioma extranjero (060)",2,,,1,,,,,1
"Es sordomudo/a (061)",10,6,,1,2,1,,,
"Hombres (063)",6837,1002,153,2960,2166,188,126,102,140
"Quechua (064)",12,3,1,6,2,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",6817,996,152,2952,2162,187,126,102,140
"Es sordomudo/a (070)",7,3,,1,2,1,,,
"Mujeres (072)",6095,1494,141,2558,1447,168,161,63,63
"Quechua (073)",12,3,1,5,1,2,,,
"Castellano (077)",6078,1488,140,2552,1446,166,161,63,62
"Idioma extranjero (078)",2,,,1,,,,,1
"Es sordomudo/a (079)",3,3,,,,,,,
