"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ANDAHUAYLAS (000)",79,69,10
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",26,26,
"Casa pensión (003)",3,1,2
"Hospital, clinica (004)",11,6,5
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",2,2,
"Aldea infantil, orfelinato, etc (007)",7,7,
"Otro (008)",21,19,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,7,1
