"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia CARABAYA",,,,,,,,,
"Viviendas particulares (001)",19221,2491,2881,347,17,854,11919,516,196
"Ocupantes presentes (002)",72425,10281,11350,1391,65,3357,43703,1695,583
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",15661,2372,2695,328,16,654,8960,499,137
"Ocupantes presentes (005)",61844,9971,10966,1343,62,2652,34741,1647,462
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",3,,3,,,,,,
"Ocupantes presentes (011)",15,,15,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",317,119,179,2,,1,14,1,1
"Ocupantes presentes (014)",716,310,363,3,,2,36,1,1
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3199,,,16,1,199,2923,13,47
"Ocupantes presentes (017)",9763,,,44,3,703,8879,38,96
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,,,,,,1,1,
"Ocupantes presentes (020)",9,,,,,,3,6,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,,4,1,,,3,1,
"Ocupantes presentes (023)",16,,6,1,,,8,1,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",30,,,,,,18,1,11
"Ocupantes presentes (026)",62,,,,,,36,2,24
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",7160,2338,2195,187,5,135,1922,299,79
"Ocupantes presentes (029)",29123,9627,8375,756,22,538,8497,995,313
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6830,2219,2009,184,5,134,1905,296,78
"Ocupantes presentes (032)",28368,9317,7991,752,22,536,8451,987,312
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",3,,3,,,,,,
"Ocupantes presentes (038)",15,,15,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",317,119,179,2,,1,14,1,1
"Ocupantes presentes (041)",716,310,363,3,,2,36,1,1
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,,,,,,1,1,
"Ocupantes presentes (047)",9,,,,,,3,6,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",8,,4,1,,,2,1,
"Ocupantes presentes (050)",15,,6,1,,,7,1,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",12061,153,686,160,12,719,9997,217,117
"Ocupantes presentes (056)",43302,654,2975,635,43,2819,35206,700,270
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",8831,153,686,144,11,520,7055,203,59
"Ocupantes presentes (059)",33476,654,2975,591,40,2116,26290,660,150
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3199,,,16,1,199,2923,13,47
"Ocupantes presentes (071)",9763,,,44,3,703,8879,38,96
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,1,,
"Ocupantes presentes (077)",1,,,,,,1,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",30,,,,,,18,1,11
"Ocupantes presentes (080)",62,,,,,,36,2,24
