"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUANCAVELICA (000)",51626,151959,127872,,2916,84.1,1.9
"De 12 a 14 años (001)",5767,21,20,,4,95.2,19
"De 15 a 19 años (002)",7871,1006,973,345,96.7,34.3,
"De 20 a 24 años (003)",6812,5538,5305,801,95.8,14.5,
"De 25 a 29 años (004)",5297,9213,8771,644,95.2,7,
"De 30 a 34 años (005)",4581,13029,12169,511,93.4,3.9,
"De 35 a 39 años (006)",4082,16440,14960,393,91,2.4,
"De 40 a 44 años (007)",3413,17256,15294,178,88.6,1,
"De 45 a 49 años (008)",2989,17772,15182,39,85.4,0.2,
"De 50 y más años (009)",10814,71684,55198,1,77,,
"PEA (010)",18256,60313,51620,1149,85.6,1.9,
"De 12 a 14 años (011)",285,5,5,1,100,20,
"De 15 a 19 años (012)",1675,366,348,112,95.1,30.6,
"De 20 a 24 años (013)",2588,2222,2110,267,95,12,
"De 25 a 29 años (014)",2540,4107,3894,279,94.8,6.8,
"De 30 a 34 años (015)",2365,6212,5787,228,93.2,3.7,
"De 35 a 39 años (016)",2092,7770,7070,175,91,2.3,
"De 40 a 44 años (017)",1686,7885,7044,69,89.3,0.9,
"De 45 a 49 años (018)",1464,8081,6954,17,86.1,0.2,
"De 50 y más años (019)",3561,23665,18408,1,77.8,,
"Ocupada (020)",17299,59217,50616,1107,85.5,1.9,
"De 12 a 14 años (021)",273,5,5,1,100,20,
"De 15 a 19 años (022)",1497,339,322,104,95,30.7,
"De 20 a 24 años (023)",2297,2111,2004,253,94.9,12,
"De 25 a 29 años (024)",2319,3955,3742,267,94.6,6.8,
"De 30 a 34 años (025)",2251,6009,5591,223,93,3.7,
"De 35 a 39 años (026)",2049,7656,6967,174,91,2.3,
"De 40 a 44 años (027)",1645,7735,6898,67,89.2,0.9,
"De 45 a 49 años (028)",1441,7960,6846,17,86,0.2,
"De 50 y más años (029)",3527,23447,18241,1,77.8,,
"Desocupada (030)",957,1096,1004,42,91.6,3.8,
"De 12 a 14 años (031)",12,,,,,,
"De 15 a 19 años (032)",178,27,26,8,96.3,29.6,
"De 20 a 24 años (033)",291,111,106,14,95.5,12.6,
"De 25 a 29 años (034)",221,152,152,12,100,7.9,
"De 30 a 34 años (035)",114,203,196,5,96.6,2.5,
