"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CANCHIS (000)",26349,161,679,1566,2910,5504,8822,6707
"De 12 a 14 años (001)",32,,,,,,1,31
"De 15 a 19 años (002)",510,,,,,,281,229
"De 20 a 24 años (003)",2503,,,,,4,1302,1197
"De 25 a 29 años (004)",3167,,,,,112,1933,1122
"De 30 a 34 años (005)",3173,,,,,541,1924,708
"De 35 a 39 años (006)",3175,,,,22,985,1686,482
"De 40 a 44 años (007)",2856,,,,128,1215,1109,404
"De 45 a 49 años (008)",2317,,,9,346,1136,493,333
"De 50 y más años (009)",8616,161,679,1557,2414,1511,93,2201
"PEA (010)",12194,17,147,510,1378,2941,4161,3040
"De 12 a 14 años (011)",6,,,,,,,6
"De 15 a 19 años (012)",183,,,,,,98,85
"De 20 a 24 años (013)",1006,,,,,3,506,497
"De 25 a 29 años (014)",1506,,,,,59,876,571
"De 30 a 34 años (015)",1630,,,,,274,948,408
"De 35 a 39 años (016)",1652,,,,10,529,843,270
"De 40 a 44 años (017)",1587,,,,87,697,557,246
"De 45 a 49 años (018)",1349,,,5,208,645,290,201
"De 50 y más años (019)",3275,17,147,505,1073,734,43,756
"Ocupada (020)",11770,17,146,505,1366,2886,3997,2853
"De 12 a 14 años (021)",5,,,,,,,5
"De 15 a 19 años (022)",173,,,,,,95,78
"De 20 a 24 años (023)",914,,,,,3,469,442
"De 25 a 29 años (024)",1401,,,,,56,827,518
"De 30 a 34 años (025)",1559,,,,,265,912,382
"De 35 a 39 años (026)",1593,,,,10,513,819,251
"De 40 a 44 años (027)",1556,,,,85,687,546,238
"De 45 a 49 años (028)",1328,,,5,206,632,289,196
"De 50 y más años (029)",3241,17,146,500,1065,730,40,743
"Desocupada (030)",424,,1,5,12,55,164,187
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",10,,,,,,3,7
"De 20 a 24 años (033)",92,,,,,,37,55
"De 25 a 29 años (034)",105,,,,,3,49,53
"De 30 a 34 años (035)",71,,,,,9,36,26
"De 35 a 39 años (036)",59,,,,,16,24,19
"De 40 a 44 años (037)",31,,,,2,10,11,8
"De 45 a 49 años (038)",21,,,,2,13,1,5
"De 50 y más años (039)",34,,1,5,8,4,3,13
"No PEA (040)",14155,144,532,1056,1532,2563,4661,3667
"De 12 a 14 años (041)",26,,,,,,1,25
"De 15 a 19 años (042)",327,,,,,,183,144
"De 20 a 24 años (043)",1497,,,,,1,796,700
"De 25 a 29 años (044)",1661,,,,,53,1057,551
"De 30 a 34 años (045)",1543,,,,,267,976,300
"De 35 a 39 años (046)",1523,,,,12,456,843,212
