"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SANTA (000)",89198,76287,12911
"Red pública dentro de la vivienda (001)",67639,64497,3142
"Red pública fuera de la vivienda (002)",3871,3186,685
"Pilón de uso público (003)",3396,650,2746
"Camión - cisterna u otro similar (004)",888,166,722
"Pozo (005)",5835,4531,1304
"Río, acequia, manatial o similar (006)",3762,1705,2057
"Vecino (007)",3060,1227,1833
"Otro (008)",747,325,422
,,,
"URBANA (010)",82681,73032,9649
"Red pública dentro de la vivienda (011)",66486,63657,2829
"Red pública fuera de la vivienda (012)",3565,3021,544
"Pilón de uso público (013)",3345,609,2736
"Camión - cisterna u otro similar (014)",868,161,707
"Pozo (015)",4288,3650,638
"Río, acequia, manatial o similar (016)",541,425,116
"Vecino (017)",2960,1191,1769
"Otro (018)",628,318,310
,,,
"RURAL (020)",6517,3255,3262
"Red pública dentro de la vivienda (021)",1153,840,313
"Red pública fuera de la vivienda (022)",306,165,141
"Pilón de uso público (023)",51,41,10
"Camión - cisterna u otro similar (024)",20,5,15
"Pozo (025)",1547,881,666
"Río, acequia, manatial o similar (026)",3221,1280,1941
"Vecino (027)",100,36,64
"Otro (028)",119,7,112
