"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHEPEN (000)",71668,12228,11009,2686,45827
"Quechua (001)",64,15,5,3,41
"Aymara (002)",8,2,2,4,2
"Asháninka (003)",2,1,,1,1
"Otra lengua nativa (004)",45,3,7,1,34
"Castellano (005)",71483,12199,10990,2673,45700
"Idioma Extranjero (006)",9,1,,3,5
"Es Sordomudo/a (007)",57,7,5,1,44
"Hombres (009)",35760,5640,5298,1449,23428
"Quechua (010)",32,6,2,1,23
"Aymara (011)",5,2,2,2,1
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",24,2,4,1,17
"Castellano (014)",35659,5624,5287,1443,23358
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",38,6,3,1,28
"Mujeres (018)",35908,6588,5711,1237,22399
"Quechua (019)",32,9,3,2,18
"Aymara (020)",3,,,2,1
"Asháninka (021)",1,1,,1,
"Otra lengua nativa (022)",21,1,3,,17
"Castellano (023)",35824,6575,5703,1230,22342
"Idioma Extranjero (024)",8,1,,2,5
"Es Sordomudo/a (025)",19,1,2,,16
,,,,,
"URBANA (027)",58736,9651,10220,2453,36490
"Quechua (028)",40,7,5,2,26
"Aymara (029)",8,2,2,4,2
"Asháninka (030)",2,1,,1,1
"Otra lengua nativa (031)",44,2,7,1,34
"Castellano (032)",58588,9632,10201,2441,36389
"Idioma Extranjero (033)",7,,,3,4
"Es Sordomudo/a (034)",47,7,5,1,34
"Hombres (036)",28923,4412,4875,1309,18380
"Quechua (037)",20,2,2,1,15
"Aymara (038)",5,2,2,2,1
"Asháninka (039)",1,,,,1
"Otra lengua nativa (040)",23,1,4,1,17
"Castellano (041)",28842,4401,4864,1303,18325
"Idioma Extranjero (042)",1,,,1,
"Es Sordomudo/a (043)",31,6,3,1,21
"Mujeres (045)",29813,5239,5345,1144,18110
"Quechua (046)",20,5,3,1,11
"Aymara (047)",3,,,2,1
"Asháninka (048)",1,1,,1,
"Otra lengua nativa (049)",21,1,3,,17
"Castellano (050)",29746,5231,5337,1138,18064
"Idioma Extranjero (051)",6,,,2,4
"Es Sordomudo/a (052)",16,1,2,,13
,,,,,
"RURAL (054)",12932,2577,789,233,9337
"Quechua (055)",24,8,,1,15
"Otra lengua nativa (058)",1,1,,,
"Castellano (059)",12895,2567,789,232,9311
"Idioma Extranjero (060)",2,1,,,1
"Es Sordomudo/a (061)",10,,,,10
"Hombres (063)",6837,1228,423,140,5048
"Quechua (064)",12,4,,,8
"Otra lengua nativa (067)",1,1,,,
"Castellano (068)",6817,1223,423,140,5033
"Es Sordomudo/a (070)",7,,,,7
"Mujeres (072)",6095,1349,366,93,4289
"Quechua (073)",12,4,,1,7
"Castellano (077)",6078,1344,366,92,4278
"Idioma Extranjero (078)",2,1,,,1
"Es Sordomudo/a (079)",3,,,,3
