"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PUNO (000)",93680,7398,54,23115,31180,3740,8108,4752,15333
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",260,,,18,36,3,43,10,150
"Profes., científicos e intelectuales (002)",12425,,,,223,211,2208,607,9176
"Técnicos de nivel medio ytrab.asimilados (003)",3863,4,1,56,521,424,1056,641,1160
"Jefes y empleados de oficina (004)",3832,,,23,691,292,715,598,1513
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",9986,345,4,1840,3899,725,1122,908,1143
"Agricult.trabaj. calif.agrop. y pesquros (006)",17723,2976,6,8086,5851,192,284,120,208
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",8131,349,5,2181,3807,402,577,395,415
"Obreros. construc., conf., papel, fab., instr (008)",7428,96,3,1182,4171,476,587,484,429
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",27374,3488,34,9404,11224,857,945,737,685
"Otra (010)",1358,,,7,321,94,485,185,266
"Ocupación no especificada (011)",1300,140,1,318,436,64,86,67,188
"Hombres (012)",52386,1949,24,11788,19422,2237,4549,3181,9236
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",194,,,15,28,3,29,8,111
"Profes., científicos e intelectuales (014)",7184,,,,112,116,1074,405,5477
"Técnicos de nivel medio ytrab.asimilados (015)",2565,2,1,43,383,315,622,486,713
"Jefes y empleados de oficina (016)",2021,,,12,459,137,277,331,805
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",3397,25,1,414,1371,257,397,443,489
"Agricult.trabaj. calif.agrop. y pesquros (018)",12967,1296,4,6147,4820,163,249,104,184
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",3937,59,1,714,1953,238,379,293,300
"Obreros. construc., conf., papel, fab., instr (020)",7061,65,3,1073,4031,461,558,464,406
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",11201,483,14,3260,5721,425,472,429,397
"Otra (022)",1274,,,3,312,88,455,170,246
"Ocupación no especificada (023)",585,19,,107,232,34,37,48,108
"Mujeres (024)",41294,5449,30,11327,11758,1503,3559,1571,6097
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",66,,,3,8,,14,2,39
"Profes., científicos e intelectuales (026)",5241,,,,111,95,1134,202,3699
"Técnicos de nivel medio ytrab.asimilados (027)",1298,2,,13,138,109,434,155,447
"Jefes y empleados de oficina (028)",1811,,,11,232,155,438,267,708
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",6589,320,3,1426,2528,468,725,465,654
"Agricult.trabaj. calif.agrop. y pesquros (030)",4756,1680,2,1939,1031,29,35,16,24
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",4194,290,4,1467,1854,164,198,102,115
"Obreros. construc., conf., papel, fab., instr (032)",367,31,,109,140,15,29,20,23
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",16173,3005,20,6144,5503,432,473,308,288
"Otra (034)",84,,,4,9,6,30,15,20
"Ocupación no especificada (035)",715,121,1,211,204,30,49,19,80
,,,,,,,,,
