"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TUMBES (000)",51610,16535,9206,21666,1315,1663,1225
"Conviviente (001)",15704,4007,3144,7513,400,338,302
"Separado(a) (002)",2590,785,405,1137,59,27,177
"Casado(a) (003)",18293,6774,2475,7767,601,446,230
"Viudo(a) (004)",940,166,93,578,41,16,46
"Divorciado(a) (005)",233,108,23,85,8,4,5
"Soltero(a) (006)",13850,4695,3066,4586,206,832,465
"Hombres (008)",36638,9638,8213,16605,1081,1041,60
"Conviviente (009)",11779,2564,2803,5905,336,157,14
"Separado(a) (010)",1124,247,255,571,37,9,5
"Casado(a) (011)",13098,4187,2258,5981,507,155,10
"Viudo(a) (012)",458,47,67,312,28,4,
"Divorciado(a) (013)",113,41,18,53,1,,
"Soltero(a) (014)",10066,2552,2812,3783,172,716,31
"Mujeres (016)",14972,6897,993,5061,234,622,1165
"Conviviente (017)",3925,1443,341,1608,64,181,288
"Separado(a) (018)",1466,538,150,566,22,18,172
"Casado(a) (019)",5195,2587,217,1786,94,291,220
"Viudo(a) (020)",482,119,26,266,13,12,46
"Divorciado(a) (021)",120,67,5,32,7,4,5
"Soltero(a) (022)",3784,2143,254,803,34,116,434
,,,,,,,
"URBANA (024)",47834,16027,8034,20178,1155,1289,1151
"Conviviente (025)",14794,3891,2843,7102,375,291,292
"Separado(a) (026)",2482,761,376,1094,58,27,166
"Casado(a) (027)",16862,6576,2144,7052,494,375,221
"Viudo(a) (028)",852,163,81,516,33,15,44
"Divorciado(a) (029)",225,107,20,82,8,4,4
"Soltero(a) (030)",12619,4529,2570,4332,187,577,424
"Hombres (032)",33421,9361,7122,15267,928,686,57
"Conviviente (033)",10993,2488,2528,5534,314,116,13
"Separado(a) (034)",1069,242,236,541,36,9,5
"Casado(a) (035)",11841,4067,1942,5332,401,89,10
"Viudo(a) (036)",388,47,56,262,20,3,
"Divorciado(a) (037)",108,41,16,50,1,,
"Soltero(a) (038)",9022,2476,2344,3548,156,469,29
"Mujeres (040)",14413,6666,912,4911,227,603,1094
"Conviviente (041)",3801,1403,315,1568,61,175,279
"Separado(a) (042)",1413,519,140,553,22,18,161
"Casado(a) (043)",5021,2509,202,1720,93,286,211
"Viudo(a) (044)",464,116,25,254,13,12,44
"Divorciado(a) (045)",117,66,4,32,7,4,4
"Soltero(a) (046)",3597,2053,226,784,31,108,395
,,,,,,,
"RURAL (048)",3776,508,1172,1488,160,374,74
"Conviviente (049)",910,116,301,411,25,47,10
"Separado(a) (050)",108,24,29,43,1,,11
"Casado(a) (051)",1431,198,331,715,107,71,9
"Viudo(a) (052)",88,3,12,62,8,1,2
"Divorciado(a) (053)",8,1,3,3,,,1
"Soltero(a) (054)",1231,166,496,254,19,255,41
"Hombres (056)",3217,277,1091,1338,153,355,3
"Conviviente (057)",786,76,275,371,22,41,1
"Separado(a) (058)",55,5,19,30,1,,
"Casado(a) (059)",1257,120,316,649,106,66,
"Viudo(a) (060)",70,,11,50,8,1,
"Divorciado(a) (061)",5,,2,3,,,
"Soltero(a) (062)",1044,76,468,235,16,247,2
"Mujeres (064)",559,231,81,150,7,19,71
"Conviviente (065)",124,40,26,40,3,6,9
"Separado(a) (066)",53,19,10,13,,,11
"Casado(a) (067)",174,78,15,66,1,5,9
"Viudo(a) (068)",18,3,1,12,,,2
"Divorciado(a) (069)",3,1,1,,,,1
"Soltero(a) (070)",187,90,28,19,3,8,39
