"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CORONGO (000)",2499,445,470,1177,23,343,41
"Conviviente (001)",877,139,168,457,11,93,9
"Separado(a) (002)",77,22,13,30,,3,9
"Casado(a) (003)",841,182,117,458,8,70,6
"Viudo(a) (004)",75,2,9,50,1,11,2
"Divorciado(a) (005)",13,5,1,5,,2,
"Soltero(a) (006)",616,95,162,177,3,164,15
"Hombres (008)",1992,276,441,975,21,276,3
"Conviviente (009)",729,88,163,394,11,71,2
"Separado(a) (010)",37,5,11,18,,3,
"Casado(a) (011)",689,132,111,393,6,47,
"Viudo(a) (012)",45,2,8,25,1,9,
"Divorciado(a) (013)",7,1,1,4,,1,
"Soltero(a) (014)",485,48,147,141,3,145,1
"Mujeres (016)",507,169,29,202,2,67,38
"Conviviente (017)",148,51,5,63,,22,7
"Separado(a) (018)",40,17,2,12,,,9
"Casado(a) (019)",152,50,6,65,2,23,6
"Viudo(a) (020)",30,,1,25,,2,2
"Divorciado(a) (021)",6,4,,1,,1,
"Soltero(a) (022)",131,47,15,36,,19,14
,,,,,,,
"URBANA (024)",1384,338,285,584,15,130,32
"Conviviente (025)",409,97,88,179,6,33,6
"Separado(a) (026)",53,19,8,19,,1,6
"Casado(a) (027)",543,159,81,255,6,36,6
"Viudo(a) (028)",35,1,5,23,,4,2
"Divorciado(a) (029)",12,5,,5,,2,
"Soltero(a) (030)",332,57,103,103,3,54,12
"Hombres (032)",1034,217,263,444,13,94,3
"Conviviente (033)",318,68,85,136,6,21,2
"Separado(a) (034)",22,3,6,12,,1,
"Casado(a) (035)",415,112,75,203,4,21,
"Viudo(a) (036)",18,1,5,10,,2,
"Divorciado(a) (037)",6,1,,4,,1,
"Soltero(a) (038)",255,32,92,79,3,48,1
"Mujeres (040)",350,121,22,140,2,36,29
"Conviviente (041)",91,29,3,43,,12,4
"Separado(a) (042)",31,16,2,7,,,6
"Casado(a) (043)",128,47,6,52,2,15,6
"Viudo(a) (044)",17,,,13,,2,2
"Divorciado(a) (045)",6,4,,1,,1,
"Soltero(a) (046)",77,25,11,24,,6,11
,,,,,,,
"RURAL (048)",1115,107,185,593,8,213,9
"Conviviente (049)",468,42,80,278,5,60,3
"Separado(a) (050)",24,3,5,11,,2,3
"Casado(a) (051)",298,23,36,203,2,34,
"Viudo(a) (052)",40,1,4,27,1,7,
"Divorciado(a) (053)",1,,1,,,,
"Soltero(a) (054)",284,38,59,74,,110,3
"Hombres (056)",958,59,178,531,8,182,
"Conviviente (057)",411,20,78,258,5,50,
"Separado(a) (058)",15,2,5,6,,2,
"Casado(a) (059)",274,20,36,190,2,26,
"Viudo(a) (060)",27,1,3,15,1,7,
"Divorciado(a) (061)",1,,1,,,,
"Soltero(a) (062)",230,16,55,62,,97,
"Mujeres (064)",157,48,7,62,,31,9
"Conviviente (065)",57,22,2,20,,10,3
"Separado(a) (066)",9,1,,5,,,3
"Casado(a) (067)",24,3,,13,,8,
"Viudo(a) (068)",13,,1,12,,,
"Soltero(a) (070)",54,22,4,12,,13,3
