"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ATALAYA (000)",39291,9615,1079,17347,8612,754,869,343,672
"Quechua (001)",667,87,4,310,211,16,14,6,19
"Aymara (002)",65,26,1,29,7,,1,1,
"Ashaninca (003)",14529,5574,356,7260,1192,45,40,15,47
"Otra lengua nativa (004)",4689,1103,130,2126,1132,77,64,21,36
"Castellano (005)",19286,2794,586,7616,6064,615,749,298,564
"Idioma extranjero (006)",20,6,,4,1,1,,2,6
"Es sordomudo/a (007)",35,25,2,2,5,,1,,
"Hombres (009)",20630,4398,534,8890,5128,469,544,232,435
"Quechua (010)",401,24,3,168,167,11,11,6,11
"Aymara (011)",36,18,,13,3,,1,1,
"Ashaninca (012)",7384,2541,178,3764,797,32,30,9,33
"Otra lengua nativa (013)",2384,469,70,1059,628,60,50,17,31
"Castellano (014)",10402,1333,282,3885,3531,365,451,197,358
"Idioma extranjero (015)",8,2,,,1,1,,2,2
"Es sordomudo/a (016)",15,11,1,1,1,,1,,
"Mujeres (018)",18661,5217,545,8457,3484,285,325,111,237
"Quechua (019)",266,63,1,142,44,5,3,,8
"Aymara (020)",29,8,1,16,4,,,,
"Ashaninca (021)",7145,3033,178,3496,395,13,10,6,14
"Otra lengua nativa (022)",2305,634,60,1067,504,17,14,4,5
"Castellano (023)",8884,1461,304,3731,2533,250,298,101,206
"Idioma extranjero (024)",12,4,,4,,,,,4
"Es sordomudo/a (025)",20,14,1,1,4,,,,
,,,,,,,,,
"URBANA (027)",14111,1488,431,4825,5230,617,693,293,534
"Quechua (028)",490,47,1,227,166,14,13,5,17
"Aymara (029)",20,4,,9,5,,1,1,
"Ashaninca (030)",548,85,8,268,143,10,20,5,9
"Otra lengua nativa (031)",801,159,17,267,271,36,27,9,15
"Castellano (032)",12224,1176,403,4050,4644,557,631,272,491
"Idioma extranjero (033)",10,4,,2,1,,,1,2
"Es sordomudo/a (034)",18,13,2,2,,,1,,
"Hombres (036)",7440,671,201,2337,2932,367,408,195,329
"Quechua (037)",291,8,,120,128,10,10,5,10
"Aymara (038)",9,1,,4,2,,1,1,
"Ashaninca (039)",261,22,4,126,81,8,13,2,5
"Otra lengua nativa (040)",375,67,6,115,124,27,17,7,12
"Castellano (041)",6489,565,190,1971,2596,322,366,179,300
"Idioma extranjero (042)",5,1,,,1,,,1,2
"Es sordomudo/a (043)",10,7,1,1,,,1,,
"Mujeres (045)",6671,817,230,2488,2298,250,285,98,205
"Quechua (046)",199,39,1,107,38,4,3,,7
"Aymara (047)",11,3,,5,3,,,,
"Ashaninca (048)",287,63,4,142,62,2,7,3,4
"Otra lengua nativa (049)",426,92,11,152,147,9,10,2,3
"Castellano (050)",5735,611,213,2079,2048,235,265,93,191
"Idioma extranjero (051)",5,3,,2,,,,,
"Es sordomudo/a (052)",8,6,1,1,,,,,
,,,,,,,,,
"RURAL (054)",25180,8127,648,12522,3382,137,176,50,138
"Quechua (055)",177,40,3,83,45,2,1,1,2
"Aymara (056)",45,22,1,20,2,,,,
"Ashaninca (057)",13981,5489,348,6992,1049,35,20,10,38
"Otra lengua nativa (058)",3888,944,113,1859,861,41,37,12,21
"Castellano (059)",7062,1618,183,3566,1420,58,118,26,73
"Idioma extranjero (060)",10,2,,2,,1,,1,4
"Es sordomudo/a (061)",17,12,,,5,,,,
"Hombres (063)",13190,3727,333,6553,2196,102,136,37,106
"Quechua (064)",110,16,3,48,39,1,1,1,1
"Aymara (065)",27,17,,9,1,,,,
"Ashaninca (066)",7123,2519,174,3638,716,24,17,7,28
"Otra lengua nativa (067)",2009,402,64,944,504,33,33,10,19
"Castellano (068)",3913,768,92,1914,935,43,85,18,58
"Idioma extranjero (069)",3,1,,,,1,,1,
"Es sordomudo/a (070)",5,4,,,1,,,,
"Mujeres (072)",11990,4400,315,5969,1186,35,40,13,32
"Quechua (073)",67,24,,35,6,1,,,1
"Aymara (074)",18,5,1,11,1,,,,
"Ashaninca (075)",6858,2970,174,3354,333,11,3,3,10
"Otra lengua nativa (076)",1879,542,49,915,357,8,4,2,2
"Castellano (077)",3149,850,91,1652,485,15,33,8,15
"Idioma extranjero (078)",7,1,,2,,,,,4
"Es sordomudo/a (079)",12,8,,,4,,,,
