"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ACOBAMBA (000)",14921,123,5966,4745,1242,442,200,85,18,,2100
"Conviviente (001)",2238,21,947,652,163,53,15,7,1,,379
"Separado(a) (002)",601,8,232,192,66,29,14,4,,,56
"Casado(a) (003)",9057,65,3956,3111,766,266,111,46,13,,723
"Viudo(a) (004)",1908,22,691,648,207,72,49,26,2,,191
"Divorciado(a) (005)",106,2,33,33,14,4,2,,,,18
"Soltero(a) (006)",1011,5,107,109,26,18,9,2,2,,733
,,,,,,,,,,,
"URBANA (008)",4851,30,1674,1436,523,201,89,48,5,,845
"Conviviente (009)",966,6,344,303,106,32,8,3,,,164
"Separado(a) (010)",228,1,88,71,33,9,6,4,,,16
"Casado(a) (011)",2616,17,1003,844,300,121,51,27,3,,250
"Viudo(a) (012)",549,6,195,167,65,27,19,13,1,,56
"Divorciado(a) (013)",27,,6,9,4,3,,,,,5
"Soltero(a) (014)",465,,38,42,15,9,5,1,1,,354
,,,,,,,,,,,
"RURAL (016)",10070,93,4292,3309,719,241,111,37,13,,1255
"Conviviente (017)",1272,15,603,349,57,21,7,4,1,,215
"Separado(a) (018)",373,7,144,121,33,20,8,,,,40
"Casado(a) (019)",6441,48,2953,2267,466,145,60,19,10,,473
"Viudo(a) (020)",1359,16,496,481,142,45,30,13,1,,135
"Divorciado(a) (021)",79,2,27,24,10,1,2,,,,13
"Soltero(a) (022)",546,5,69,67,11,9,4,1,1,,379
