"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia TAHUAMANU",,,,,
"Viviendas particulares (001)",43,13,8,7,15
"Ocupantes presentes (002)",174,32,40,40,62
"Casa independiente",,,,,
"Viviendas particulares (004)",29,7,8,6,8
"Ocupantes presentes (005)",127,21,40,27,39
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",2,2,,,
"Ocupantes presentes (011)",4,4,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",12,4,,1,7
"Ocupantes presentes (014)",43,7,,13,23
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",43,13,8,7,15
"Ocupantes presentes (029)",174,32,40,40,62
"Casa independiente",,,,,
"Viviendas particulares (031)",29,7,8,6,8
"Ocupantes presentes (032)",127,21,40,27,39
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",2,2,,,
"Ocupantes presentes (038)",4,4,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",12,4,,1,7
"Ocupantes presentes (041)",43,7,,13,23
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
