"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JAEN (000)",1960,527,1433
"De 14 a 29 años (001)",1062,417,645
"De 30 a 44 años (002)",533,89,444
"De 45 a 64 años (003)",298,21,277
"De 65 y más años (004)",67,,67
"Hombres (005)",1439,316,1123
"De 14 a 29 años (006)",711,251,460
"De 30 a 44 años (007)",400,50,350
"De 45 a 64 años (008)",265,15,250
"De 65 y más años (009)",63,,63
"Mujeres (010)",521,211,310
"De 14 a 29 años (011)",351,166,185
"De 30 a 44 años (012)",133,39,94
"De 45 a 64 años (013)",33,6,27
"De 65 y más años (014)",4,,4
,,,
"AREA URBANA (015)",1326,375,951
"De 14 a 29 años (016)",698,283,415
"De 30 a 44 años (017)",394,74,320
"De 45 a 64 años (018)",196,18,178
"De 65 y más años (019)",38,,38
"Hombres (020)",927,219,708
"De 14 a 29 años (021)",444,167,277
"De 30 a 44 años (022)",280,39,241
"De 45 a 64 años (023)",168,13,155
"De 65 y más años (024)",35,,35
"Mujeres (025)",399,156,243
"De 14 a 29 años (026)",254,116,138
"De 30 a 44 años (027)",114,35,79
"De 45 a 64 años (028)",28,5,23
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",634,152,482
"De 14 a 29 años (031)",364,134,230
"De 30 a 44 años (032)",139,15,124
"De 45 a 64 años (033)",102,3,99
"De 65 y más años (034)",29,,29
"Hombres (035)",512,97,415
"De 14 a 29 años (036)",267,84,183
"De 30 a 44 años (037)",120,11,109
"De 45 a 64 años (038)",97,2,95
"De 65 y más años (039)",28,,28
"Mujeres (040)",122,55,67
"De 14 a 29 años (041)",97,50,47
"De 30 a 44 años (042)",19,4,15
"De 45 a 64 años (043)",5,1,4
"De 65 y más años (044)",1,,1
