"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHOTA",,,,,,,,,
"Viviendas particulares (001)",15391,4694,1423,353,1477,101,99,99,7145
"Ocupantes presentes (002)",62171,18725,5720,1380,5734,328,388,413,29483
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",15175,4553,1400,346,1466,101,98,99,7112
"Ocupantes presentes (005)",61451,18259,5657,1368,5706,328,384,413,29336
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",69,48,11,,1,,,,9
"Ocupantes presentes (008)",213,153,31,,1,,,,28
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",65,55,3,4,2,,,,1
"Ocupantes presentes (011)",203,181,4,8,7,,,,3
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",53,35,9,1,6,,1,,1
"Ocupantes presentes (014)",174,124,28,1,14,,4,,3
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",23,1,,2,2,,,,18
"Ocupantes presentes (017)",108,3,,3,6,,,,96
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,2,,,,,,,4
"Ocupantes presentes (023)",22,5,,,,,,,17
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6478,3466,777,116,381,74,71,19,1574
"Ocupantes presentes (029)",24327,13385,2936,397,1407,213,251,61,5677
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6287,3326,754,111,372,74,70,19,1561
"Ocupantes presentes (032)",23727,12922,2873,388,1385,213,247,61,5638
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",69,48,11,,1,,,,9
"Ocupantes presentes (035)",213,153,31,,1,,,,28
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",65,55,3,4,2,,,,1
"Ocupantes presentes (038)",203,181,4,8,7,,,,3
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",53,35,9,1,6,,1,,1
"Ocupantes presentes (041)",174,124,28,1,14,,4,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,2,,,,,,,2
"Ocupantes presentes (050)",10,5,,,,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",8913,1228,646,237,1096,27,28,80,5571
"Ocupantes presentes (056)",37844,5340,2784,983,4327,115,137,352,23806
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",8888,1227,646,235,1094,27,28,80,5551
"Ocupantes presentes (059)",37724,5337,2784,980,4321,115,137,352,23698
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",23,1,,2,2,,,,18
"Ocupantes presentes (071)",108,3,,3,6,,,,96
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",12,,,,,,,,12
"Otro tipo",,,,,,,,,
