"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONDESUYOS (000)",8391,1213,3116,3185,82,743,52
"Conviviente (001)",2639,260,1154,1032,18,164,11
"Separado(a) (002)",184,22,53,93,1,11,4
"Casado(a) (003)",3036,471,997,1208,39,316,5
"Viudo(a) (004)",259,13,43,173,4,25,1
"Divorciado(a) (005)",45,5,17,18,2,3,
"Soltero(a) (006)",2228,442,852,661,18,224,31
"Hombres (008)",6165,744,2789,2286,61,276,9
"Conviviente (009)",2037,175,1030,769,14,47,2
"Separado(a) (010)",106,11,41,48,1,5,
"Casado(a) (011)",2232,320,918,882,31,81,
"Viudo(a) (012)",94,4,20,61,1,8,
"Divorciado(a) (013)",32,3,11,15,,3,
"Soltero(a) (014)",1664,231,769,511,14,132,7
"Mujeres (016)",2226,469,327,899,21,467,43
"Conviviente (017)",602,85,124,263,4,117,9
"Separado(a) (018)",78,11,12,45,,6,4
"Casado(a) (019)",804,151,79,326,8,235,5
"Viudo(a) (020)",165,9,23,112,3,17,1
"Divorciado(a) (021)",13,2,6,3,2,,
"Soltero(a) (022)",564,211,83,150,4,92,24
,,,,,,,
"URBANA (024)",3209,758,1069,1043,32,269,38
"Conviviente (025)",837,132,339,295,7,55,9
"Separado(a) (026)",82,18,24,32,1,3,4
"Casado(a) (027)",1257,322,356,434,18,123,4
"Viudo(a) (028)",105,11,17,67,1,8,1
"Divorciado(a) (029)",18,4,5,8,,1,
"Soltero(a) (030)",910,271,328,207,5,79,20
"Hombres (032)",2093,407,919,649,22,89,7
"Conviviente (033)",586,79,290,197,4,14,2
"Separado(a) (034)",41,7,18,14,1,1,
"Casado(a) (035)",824,191,311,282,14,26,
"Viudo(a) (036)",25,2,3,18,,2,
"Divorciado(a) (037)",15,3,4,7,,1,
"Soltero(a) (038)",602,125,293,131,3,45,5
"Mujeres (040)",1116,351,150,394,10,180,31
"Conviviente (041)",251,53,49,98,3,41,7
"Separado(a) (042)",41,11,6,18,,2,4
"Casado(a) (043)",433,131,45,152,4,97,4
"Viudo(a) (044)",80,9,14,49,1,6,1
"Divorciado(a) (045)",3,1,1,1,,,
"Soltero(a) (046)",308,146,35,76,2,34,15
,,,,,,,
"RURAL (048)",5182,455,2047,2142,50,474,14
"Conviviente (049)",1802,128,815,737,11,109,2
"Separado(a) (050)",102,4,29,61,,8,
"Casado(a) (051)",1779,149,641,774,21,193,1
"Viudo(a) (052)",154,2,26,106,3,17,
"Divorciado(a) (053)",27,1,12,10,2,2,
"Soltero(a) (054)",1318,171,524,454,13,145,11
"Hombres (056)",4072,337,1870,1637,39,187,2
"Conviviente (057)",1451,96,740,572,10,33,
"Separado(a) (058)",65,4,23,34,,4,
"Casado(a) (059)",1408,129,607,600,17,55,
"Viudo(a) (060)",69,2,17,43,1,6,
"Divorciado(a) (061)",17,,7,8,,2,
"Soltero(a) (062)",1062,106,476,380,11,87,2
"Mujeres (064)",1110,118,177,505,11,287,12
"Conviviente (065)",351,32,75,165,1,76,2
"Separado(a) (066)",37,,6,27,,4,
"Casado(a) (067)",371,20,34,174,4,138,1
"Viudo(a) (068)",85,,9,63,2,11,
"Divorciado(a) (069)",10,1,5,2,2,,
"Soltero(a) (070)",256,65,48,74,2,58,9
