"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JORGE BASADRE (000)",2359,18,810,753,315,116,47,10,6,,284
"Catolica (001)",1978,14,652,639,275,101,40,9,6,,242
"Cristiana / Evangelica (002)",185,3,80,55,14,8,4,,,,21
"Otra (003)",153,1,55,46,23,7,2,1,,,18
"Ninguna (004)",43,,23,13,3,,1,,,,3
,,,,,,,,,,,
"URBANA (006)",1376,7,396,449,211,77,33,7,3,,193
"Catolica (007)",1169,5,316,384,194,68,29,7,3,,163
"Cristiana / Evangelica (008)",102,1,38,37,4,5,3,,,,14
"Otra (009)",80,1,29,20,11,4,1,,,,14
"Ninguna (010)",25,,13,8,2,,,,,,2
,,,,,,,,,,,
"RURAL (012)",983,11,414,304,104,39,14,3,3,,91
"Catolica (013)",809,9,336,255,81,33,11,2,3,,79
"Cristiana / Evangelica (014)",83,2,42,18,10,3,1,,,,7
"Otra (015)",73,,26,26,12,3,1,1,,,4
"Ninguna (016)",18,,10,5,1,,1,,,,1
