"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ABANCAY (000)",96064,95236,560,268
"Hombres (001)",47611,47231,224,156
"Mujeres (002)",48453,48005,336,112
"Menores de 1 año (003)",1713,1473,143,97
"Hombres (004)",869,743,77,49
"Mujeres (005)",844,730,66,48
"De 1 a 5 años (006)",9987,9661,167,159
"Hombres (007)",5124,4942,80,102
"Mujeres (008)",4863,4719,87,57
"De 6 a 14 años (009)",21877,21865,7,5
"Hombres (010)",11285,11279,4,2
"Mujeres (011)",10592,10586,3,3
"De 15 a 29 años (012)",25906,25902,3,1
"Hombres (013)",12729,12726,2,1
"Mujeres (014)",13177,13176,1,
"De 30 a 44 años (015)",17733,17727,6,
"Hombres (016)",8499,8497,2,
"Mujeres (017)",9234,9230,4,
"De 45 a 64 años (018)",12847,12805,38,4
"Hombres (019)",6330,6319,10,1
"Mujeres (020)",6517,6486,28,3
"De 65 a más años (021)",6001,5803,196,2
"Hombres (022)",2775,2725,49,1
"Mujeres (023)",3226,3078,147,1
,,,,
"URBANA (024)",60810,60398,290,122
"Hombres (025)",29630,29438,117,75
"Mujeres (026)",31180,30960,173,47
"Menores de 1 año (027)",1054,930,83,41
"Hombres (028)",522,458,44,20
"Mujeres (029)",532,472,39,21
"De 1 a 5 años (030)",5780,5594,110,76
"Hombres (031)",3002,2894,56,52
"Mujeres (032)",2778,2700,54,24
"De 6 a 14 años (033)",13313,13309,,4
"Hombres (034)",6745,6743,,2
"Mujeres (035)",6568,6566,,2
"De 15 a 29 años (036)",18523,18521,1,1
"Hombres (037)",8903,8902,,1
"Mujeres (038)",9620,9619,1,
"De 30 a 44 años (039)",11749,11748,1,
"Hombres (040)",5505,5504,1,
"Mujeres (041)",6244,6244,,
"De 45 a 64 años (042)",7475,7468,7,
"Hombres (043)",3659,3656,3,
"Mujeres (044)",3816,3812,4,
"De 65 a más años (045)",2916,2828,88,
"Hombres (046)",1294,1281,13,
"Mujeres (047)",1622,1547,75,
,,,,
"RURAL (048)",35254,34838,270,146
"Hombres (049)",17981,17793,107,81
"Mujeres (050)",17273,17045,163,65
"Menores de 1 año (051)",659,543,60,56
"Hombres (052)",347,285,33,29
"Mujeres (053)",312,258,27,27
"De 1 a 5 años (054)",4207,4067,57,83
"Hombres (055)",2122,2048,24,50
"Mujeres (056)",2085,2019,33,33
"De 6 a 14 años (057)",8564,8556,7,1
"Hombres (058)",4540,4536,4,
"Mujeres (059)",4024,4020,3,1
"De 15 a 29 años (060)",7383,7381,2,
"Hombres (061)",3826,3824,2,
"Mujeres (062)",3557,3557,,
"De 30 a 44 años (063)",5984,5979,5,
"Hombres (064)",2994,2993,1,
"Mujeres (065)",2990,2986,4,
"De 45 a 64 años (066)",5372,5337,31,4
"Hombres (067)",2671,2663,7,1
"Mujeres (068)",2701,2674,24,3
"De 65 a más años (069)",3085,2975,108,2
"Hombres (070)",1481,1444,36,1
"Mujeres (071)",1604,1531,72,1
