"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia SAN MIGUEL",,,
"Viviendas particulares (001)",7714,6904,810
"Ocupantes presentes (002)",29151,25971,3180
"Casa independiente",,,
"Viviendas particulares (004)",7692,6884,808
"Ocupantes presentes (005)",29053,25885,3168
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (010)",5,5,
"Ocupantes presentes (011)",33,33,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",5,5,
"Ocupantes presentes (014)",17,17,
"Choza o cabaña",,,
"Viviendas particulares (016)",7,6,1
"Ocupantes presentes (017)",32,27,5
"Vivienda improvisada",,,
"Viviendas particulares (019)",3,2,1
"Ocupantes presentes (020)",10,3,7
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",2,2,
"Ocupantes presentes (023)",6,6,
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",2060,1965,95
"Ocupantes presentes (029)",7375,7075,300
"Casa independiente",,,
"Viviendas particulares (031)",2047,1953,94
"Ocupantes presentes (032)",7315,7022,293
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (037)",5,5,
"Ocupantes presentes (038)",33,33,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",5,5,
"Ocupantes presentes (041)",17,17,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",3,2,1
"Ocupantes presentes (047)",10,3,7
"Local no dest.para hab. humana",,,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",5654,4939,715
"Ocupantes presentes (056)",21776,18896,2880
"Casa independiente",,,
"Viviendas particulares (058)",5645,4931,714
"Ocupantes presentes (059)",21738,18863,2875
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",7,6,1
"Ocupantes presentes (071)",32,27,5
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",2,2,
"Ocupantes presentes (077)",6,6,
"Otro tipo",,,
