"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia ANDAHUAYLAS (000)",70796,58740,12056
"De 3 a 5 años (001)",10307,895,9412
"De 6 a 11 años (002)",21545,19594,1951
"De 12 a 16 años (003)",19653,19494,159
"De 17 a 24 años (004)",19291,18757,534
"Hombres (005)",35630,29660,5970
"De 3 a 5 años (006)",5221,454,4767
"De 6 a 11 años (007)",10997,9979,1018
"De 12 a 16 años (008)",9898,9830,68
"De 17 a 24 años (009)",9514,9397,117
"Mujeres (010)",35166,29080,6086
"De 3 a 5 años (011)",5086,441,4645
"De 6 a 11 años (012)",10548,9615,933
"De 12 a 16 años (013)",9755,9664,91
"De 17 a 24 años (014)",9777,9360,417
,,,
"URBANA (015)",31678,27073,4605
"De 3 a 5 años (016)",4324,476,3848
"De 6 a 11 años (017)",9023,8442,581
"De 12 a 16 años (018)",8843,8791,52
"De 17 a 24 años (019)",9488,9364,124
"Hombres (020)",15747,13462,2285
"De 3 a 5 años (021)",2187,248,1939
"De 6 a 11 años (022)",4587,4294,293
"De 12 a 16 años (023)",4335,4314,21
"De 17 a 24 años (024)",4638,4606,32
"Mujeres (025)",15931,13611,2320
"De 3 a 5 años (026)",2137,228,1909
"De 6 a 11 años (027)",4436,4148,288
"De 12 a 16 años (028)",4508,4477,31
"De 17 a 24 años (029)",4850,4758,92
,,,
"RURAL (030)",39118,31667,7451
"De 3 a 5 años (031)",5983,419,5564
"De 6 a 11 años (032)",12522,11152,1370
"De 12 a 16 años (033)",10810,10703,107
"De 17 a 24 años (034)",9803,9393,410
"Hombres (035)",19883,16198,3685
"De 3 a 5 años (036)",3034,206,2828
"De 6 a 11 años (037)",6410,5685,725
"De 12 a 16 años (038)",5563,5516,47
"De 17 a 24 años (039)",4876,4791,85
"Mujeres (040)",19235,15469,3766
"De 3 a 5 años (041)",2949,213,2736
"De 6 a 11 años (042)",6112,5467,645
"De 12 a 16 años (043)",5247,5187,60
"De 17 a 24 años (044)",4927,4602,325
