"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OXAPAMPA (000)",73622,10952,1738,34424,19505,1721,1767,1253,2262
"Jefe o Jefa (001)",19549,1881,17,9161,5603,575,673,480,1159
"Esposa(o)/ compa¤era(o) (002)",12758,1911,20,6166,3272,286,452,160,491
"Hijo(a)/ hijastro(a) (003)",30655,5169,1364,14620,7758,601,424,416,303
"Yerno/ nuera (004)",912,22,2,284,431,62,39,25,47
"Nieto(a) (005)",2775,781,225,1254,450,20,12,23,10
"Padres/ suegros (006)",758,378,,301,53,8,3,5,10
"Otro(a) pariente (007)",4475,689,97,2001,1287,102,97,99,103
"Trabajador(a) del hogar (008)",332,21,,157,133,13,4,3,1
"Pensionista (009)",181,1,2,40,89,7,6,3,33
"Otro(a) no pariente (010)",1227,99,11,440,429,47,57,39,105
"Hombres (012)",38455,4790,844,18341,10917,889,764,720,1190
"Jefe o Jefa (013)",15403,1181,12,7530,4569,436,462,367,846
"Esposa(o)/ compa¤era(o) (014)",695,37,,274,293,16,15,17,43
"Hijo(a)/ hijastro(a) (015)",16562,2627,682,8035,4384,309,172,213,140
"Yerno/ nuera (016)",401,9,,116,190,23,20,17,26
"Nieto(a) (017)",1489,428,100,672,258,10,3,13,5
"Padres/ suegros (018)",281,96,,151,22,5,,2,5
"Otro(a) pariente (019)",2524,339,47,1150,776,51,51,60,50
"Trabajador(a) del hogar (020)",155,10,,78,61,5,1,,
"Pensionista (021)",124,1,,28,63,4,6,3,19
"Otro(a) no pariente (022)",821,62,3,307,301,30,34,28,56
"Mujeres (024)",35167,6162,894,16083,8588,832,1003,533,1072
"Jefe o Jefa (025)",4146,700,5,1631,1034,139,211,113,313
"Esposa(o)/ compa¤era(o) (026)",12063,1874,20,5892,2979,270,437,143,448
"Hijo(a)/ hijastro(a) (027)",14093,2542,682,6585,3374,292,252,203,163
"Yerno/ nuera (028)",511,13,2,168,241,39,19,8,21
"Nieto(a) (029)",1286,353,125,582,192,10,9,10,5
"Padres/ suegros (030)",477,282,,150,31,3,3,3,5
"Otro(a) pariente (031)",1951,350,50,851,511,51,46,39,53
"Trabajador(a) del hogar (032)",177,11,,79,72,8,3,3,1
"Pensionista (033)",57,,2,12,26,3,,,14
"Otro(a) no pariente (034)",406,37,8,133,128,17,23,11,49
,,,,,,,,,
"URBANA (036)",26715,2289,753,9074,9483,1174,1283,946,1713
"Jefe o Jefa (037)",7382,330,4,2262,2674,390,487,359,876
"Esposa(o)/ compa¤era(o) (038)",4436,361,5,1417,1578,198,346,124,407
"Hijo(a)/ hijastro(a) (039)",10607,1088,587,3925,3758,395,307,317,230
"Yerno/ nuera (040)",377,3,1,59,192,44,21,19,38
"Nieto(a) (041)",1064,227,108,451,233,14,7,17,7
"Padres/ suegros (042)",308,101,,148,38,5,3,5,8
"Otro(a) pariente (043)",1717,148,38,582,651,78,68,72,80
"Trabajador(a) del hogar (044)",176,9,,56,92,11,4,3,1
"Pensionista (045)",80,,2,17,41,5,2,2,11
