"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia CAÑETE",,,,,
"Viviendas particulares (001)",3035,391,465,1208,971
"Ocupantes presentes (002)",12452,1516,1861,5072,4003
"Casa independiente",,,,,
"Viviendas particulares (004)",2895,364,446,1161,924
"Ocupantes presentes (005)",11894,1408,1791,4870,3825
"Departamento en edificio",,,,,
"Viviendas particulares (007)",17,3,6,4,4
"Ocupantes presentes (008)",56,4,21,18,13
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",19,3,3,4,9
"Ocupantes presentes (011)",75,7,7,20,41
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",9,4,1,2,2
"Ocupantes presentes (014)",56,40,1,8,7
"Choza o cabaña",,,,,
"Viviendas particulares (016)",12,6,1,5,
"Ocupantes presentes (017)",38,15,3,20,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",77,9,8,31,29
"Ocupantes presentes (020)",321,39,38,135,109
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",6,2,,1,3
"Ocupantes presentes (023)",12,3,,1,8
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",2514,313,310,1025,866
"Ocupantes presentes (029)",10415,1266,1217,4361,3571
"Casa independiente",,,,,
"Viviendas particulares (031)",2386,292,292,983,819
"Ocupantes presentes (032)",9895,1173,1150,4179,3393
"Departamento en edificio",,,,,
"Viviendas particulares (034)",17,3,6,4,4
"Ocupantes presentes (035)",56,4,21,18,13
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",19,3,3,4,9
"Ocupantes presentes (038)",75,7,7,20,41
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",9,4,1,2,2
"Ocupantes presentes (041)",56,40,1,8,7
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",77,9,8,31,29
"Ocupantes presentes (047)",321,39,38,135,109
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",6,2,,1,3
"Ocupantes presentes (050)",12,3,,1,8
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",521,78,155,183,105
"Ocupantes presentes (056)",2037,250,644,711,432
"Casa independiente",,,,,
"Viviendas particulares (058)",509,72,154,178,105
"Ocupantes presentes (059)",1999,235,641,691,432
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",12,6,1,5,
"Ocupantes presentes (071)",38,15,3,20,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
