"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUPACA (000)",45901,2688,475,16144,17959,2347,2742,1424,2122
"Hombres (001)",22049,426,251,6886,9822,1239,1343,834,1248
"Mujeres (002)",23852,2262,224,9258,8137,1108,1399,590,874
"PEA (003)",19799,995,18,5006,8462,1136,1923,654,1605
"Hombres (004)",11916,235,9,2450,5864,760,1089,478,1031
"Mujeres (005)",7883,760,9,2556,2598,376,834,176,574
"Ocupada (006)",19037,969,15,4897,8090,1077,1820,639,1530
"Hombres (007)",11371,217,7,2378,5558,715,1039,466,991
"Mujeres (008)",7666,752,8,2519,2532,362,781,173,539
"Desocupada (009)",762,26,3,109,372,59,103,15,75
"Hombres (010)",545,18,2,72,306,45,50,12,40
"Mujeres (011)",217,8,1,37,66,14,53,3,35
"No PEA (012)",26102,1693,457,11138,9497,1211,819,770,517
"Hombres (013)",10133,191,242,4436,3958,479,254,356,217
"Mujeres (014)",15969,1502,215,6702,5539,732,565,414,300
,,,,,,,,,
"URBANA (018)",27910,1407,253,8969,10770,1619,2062,1143,1687
"Hombres (019)",13556,223,139,3932,5757,861,993,662,989
"Mujeres (020)",14354,1184,114,5037,5013,758,1069,481,698
"PEA (021)",12553,563,14,2723,5113,847,1468,530,1295
"Hombres (022)",7491,137,7,1326,3429,567,810,389,826
"Mujeres (023)",5062,426,7,1397,1684,280,658,141,469
"Ocupada (024)",12055,550,13,2660,4883,805,1389,517,1238
"Hombres (025)",7154,132,6,1289,3244,533,772,379,799
"Mujeres (026)",4901,418,7,1371,1639,272,617,138,439
"Desocupada (027)",498,13,1,63,230,42,79,13,57
"Hombres (028)",337,5,1,37,185,34,38,10,27
"Mujeres (029)",161,8,,26,45,8,41,3,30
"No PEA (030)",15357,844,239,6246,5657,772,594,613,392
"Hombres (031)",6065,86,132,2606,2328,294,183,273,163
"Mujeres (032)",9292,758,107,3640,3329,478,411,340,229
,,,,,,,,,
"RURAL (036)",17991,1281,222,7175,7189,728,680,281,435
"Hombres (037)",8493,203,112,2954,4065,378,350,172,259
"Mujeres (038)",9498,1078,110,4221,3124,350,330,109,176
"PEA (039)",7246,432,4,2283,3349,289,455,124,310
"Hombres (040)",4425,98,2,1124,2435,193,279,89,205
"Mujeres (041)",2821,334,2,1159,914,96,176,35,105
"Ocupada (042)",6982,419,2,2237,3207,272,431,122,292
"Hombres (043)",4217,85,1,1089,2314,182,267,87,192
"Mujeres (044)",2765,334,1,1148,893,90,164,35,100
"Desocupada (045)",264,13,2,46,142,17,24,2,18
"Hombres (046)",208,13,1,35,121,11,12,2,13
"Mujeres (047)",56,,1,11,21,6,12,,5
"No PEA (048)",10745,849,218,4892,3840,439,225,157,125
"Hombres (049)",4068,105,110,1830,1630,185,71,83,54
"Mujeres (050)",6677,744,108,3062,2210,254,154,74,71
