"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia NAZCA (000)",16357,256,5687,4798,1940,759,344,91,11,,2471
"Sin Nivel (001)",1183,64,536,245,83,42,29,14,1,,169
"Educación Inicial (002)",16,,6,2,1,,,,,,7
"Primaria (003)",3467,110,1727,845,267,117,90,22,3,,286
"Secundaria (004)",6492,71,2640,2005,608,231,78,23,5,,831
"Sup. no Univ. Incompleta (005)",1157,3,250,451,164,35,13,4,,,237
"Sup. no Univ. Completa (006)",2219,5,343,727,452,159,62,12,,,459
"Sup. Univ. Incompleta (007)",483,1,73,154,71,34,10,2,1,,137
"Sup. Univ. Completa (008)",1340,2,112,369,294,141,62,14,1,,345
,,,,,,,,,,,
"URBANA (010)",14423,196,4837,4320,1757,711,324,84,10,,2184
"Sin Nivel (011)",834,44,369,178,59,28,25,10,1,,120
"Educación Inicial (012)",16,,6,2,1,,,,,,7
"Primaria (013)",2852,79,1402,706,220,106,83,20,3,,233
"Secundaria (014)",5751,62,2323,1797,543,215,73,22,4,,712
"Sup. no Univ. Incompleta (015)",1078,3,234,422,149,35,13,4,,,218
"Sup. no Univ. Completa (016)",2115,5,324,705,427,154,61,12,,,427
"Sup. Univ. Incompleta (017)",465,1,68,148,71,32,10,2,1,,132
"Sup. Univ. Completa (018)",1312,2,111,362,287,141,59,14,1,,335
,,,,,,,,,,,
"RURAL (020)",1934,60,850,478,183,48,20,7,1,,287
"Sin Nivel (021)",349,20,167,67,24,14,4,4,,,49
"Primaria (023)",615,31,325,139,47,11,7,2,,,53
"Secundaria (024)",741,9,317,208,65,16,5,1,1,,119
"Sup. no Univ. Incompleta (025)",79,,16,29,15,,,,,,19
"Sup. no Univ. Completa (026)",104,,19,22,25,5,1,,,,32
"Sup. Univ. Incompleta (027)",18,,5,6,,2,,,,,5
"Sup. Univ. Completa (028)",28,,1,7,7,,3,,,,10
