"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAJABAMBA (000)",68378,13836,1877,39569,9253,1002,1940,261,640
"Jefe o Jefa (001)",17596,3032,12,11306,1925,244,718,68,291
"Esposa(o)/ compa¤era(o) (002)",11787,3378,19,6807,919,125,397,27,115
"Hijo(a)/ hijastro(a) (003)",29687,5065,1442,16900,5041,454,536,125,124
"Yerno/ nuera (004)",914,61,1,498,202,37,83,5,27
"Nieto(a) (005)",3468,886,298,1782,435,22,25,13,7
"Padres/ suegros (006)",930,588,,300,29,,7,,6
"Otro(a) pariente (007)",3285,727,98,1679,535,69,111,17,49
"Trabajador(a) del hogar (008)",114,17,1,65,24,4,3,,
"Pensionista (009)",28,1,,8,2,,15,,2
"Otro(a) no pariente (010)",569,81,6,224,141,47,45,6,19
"Hombres (012)",33608,4860,965,20587,5356,468,879,134,359
"Jefe o Jefa (013)",13273,1465,10,9278,1577,167,507,50,219
"Esposa(o)/ compa¤era(o) (014)",468,42,1,267,92,19,29,4,14
"Hijo(a)/ hijastro(a) (015)",15433,2446,732,8783,2932,202,209,62,67
"Yerno/ nuera (016)",420,20,1,220,100,16,41,2,20
"Nieto(a) (017)",1804,472,161,889,249,8,14,7,4
"Padres/ suegros (018)",228,85,,125,13,,3,,2
"Otro(a) pariente (019)",1650,299,55,887,306,30,47,6,20
"Trabajador(a) del hogar (020)",8,1,,4,2,,1,,
"Pensionista (021)",18,,,7,2,,8,,1
"Otro(a) no pariente (022)",306,30,5,127,83,26,20,3,12
"Mujeres (024)",34770,8976,912,18982,3897,534,1061,127,281
"Jefe o Jefa (025)",4323,1567,2,2028,348,77,211,18,72
"Esposa(o)/ compa¤era(o) (026)",11319,3336,18,6540,827,106,368,23,101
"Hijo(a)/ hijastro(a) (027)",14254,2619,710,8117,2109,252,327,63,57
"Yerno/ nuera (028)",494,41,,278,102,21,42,3,7
"Nieto(a) (029)",1664,414,137,893,186,14,11,6,3
"Padres/ suegros (030)",702,503,,175,16,,4,,4
"Otro(a) pariente (031)",1635,428,43,792,229,39,64,11,29
"Trabajador(a) del hogar (032)",106,16,1,61,22,4,2,,
"Pensionista (033)",10,1,,1,,,7,,1
"Otro(a) no pariente (034)",263,51,1,97,58,21,25,3,7
,,,,,,,,,
"URBANA (036)",16924,1964,563,6877,4322,753,1657,214,574
"Jefe o Jefa (037)",4481,395,5,2001,949,199,620,55,257
"Esposa(o)/ compa¤era(o) (038)",2628,371,5,1174,502,97,347,23,109
"Hijo(a)/ hijastro(a) (039)",6694,726,395,2532,2081,306,447,97,110
"Yerno/ nuera (040)",281,3,,59,92,27,70,5,25
"Nieto(a) (041)",924,168,112,385,210,16,18,12,3
"Padres/ suegros (042)",301,127,,136,25,,7,,6
"Otro(a) pariente (043)",1119,134,42,403,324,59,96,16,45
"Trabajador(a) del hogar (044)",98,12,,58,21,4,3,,
"Pensionista (045)",16,1,,4,2,,7,,2
"Otro(a) no pariente (046)",382,27,4,125,116,45,42,6,17
